corpus,V,tokens,pi_h,mu_h,sd_h,mu_t,sd_t,nll2,nll1,bic2,bic1,two_comp_wins,N_H,beta,w_fit,w_pred,ratio,s_f2,s_over_NH
Complete Works of Shakespeare,24458,988670,0.033557,5.415537,0.667156,0.111385,1.679943,76801.062621,90726.557307,153652.648804,181473.32404,True,820.7462601147474,0.9491781464327295,2.646616716431199,0.8955506343105181,2.9552954517963377,304.4599528766846,0.37095502918784967
War and Peace,17445,583368,0.038326,4.961346,0.603871,0.458769,1.518122,54282.17752,60744.038246,108613.189082,121507.61011,True,668.5950039851692,0.9078091475262011,2.7104365107531745,0.7752712070497197,3.4961139870880675,227.1902907446983,0.3398025551948902
Moby Dick,16956,219054,0.008175,4.602043,0.67086,-1.581125,2.064879,39653.329165,42636.474277,79355.350214,85292.425308,True,138.61520458846135,0.9049643013440309,2.3984910164998943,0.858575175609517,2.7935713547706116,192.63444045682485,1.3897064252708984
King James Bible,12555,792180,0.038999,5.754249,0.562449,0.425289,1.558209,43459.694411,52556.451996,86966.578192,105131.779741,True,489.6300719043762,0.8192761886609174,2.5297298828594363,0.6516706657861211,3.881914616806913,163.28477950206366,0.33348601091224
Federalist Papers,8617,192302,0.02798,4.757481,0.64328,0.226682,1.579727,25032.730424,27221.068038,50110.76831,54460.25906,True,241.1023478835455,1.0192122944439856,3.0844813201684413,0.9272133781205139,3.3266143402943205,109.65816690003957,0.45481998770499493
Grimm's Fairy Tales,4746,102114,0.035829,4.593849,0.623175,-0.140539,1.652291,13687.445495,15058.421031,27417.216276,30133.772177,True,170.046658400757,0.9930735545107724,3.7772873911919547,0.875198048516803,4.315923004619719,57.99137213471197,0.34103211836154385
Don Quixote,15574,433304,0.019469,5.515743,0.665913,0.087249,1.631544,44683.791571,51502.743085,89415.849932,103024.792887,True,303.2116132161633,0.9024517695442227,2.6603760597471293,0.8498777549842003,3.1303043810066393,192.8333131129501,0.6359694177527324
Pride and Prejudice,6729,128565,0.029279,4.642817,0.651419,-0.231381,1.608153,18446.499336,19947.726906,36937.069581,39913.082176,True,197.0150914671834,0.9101337516282151,3.0555412059880673,0.8384565629218915,3.6442450821065537,79.19685322749302,0.4019836888520023
Canterbury Tales,17653,281189,0.011659,5.308401,0.697916,-0.780564,1.702704,42496.203826,46684.154325,85041.300956,93387.865973,True,205.81458404681644,0.9263207167731023,3.1733354287062143,0.9142803226210725,3.4708560932481287,198.7134131188039,0.965497241311154
Arabian Nights (Vol 1),13883,176048,0.01429,4.763312,0.97814,-1.186608,1.650531,30939.272148,33196.873679,61926.236398,66412.824199,True,198.3871035426488,0.9311682423521511,3.3231848346838904,1.2880844941449043,2.5799432023207363,141.95141885424383,0.7155274527395247
Aesop's Fables,4394,41594,0.010315,4.719264,0.997128,-1.289927,1.779019,9671.288238,10193.307033,19384.516453,20403.390057,True,45.32336034920612,0.8805665197678375,0.7344009526763349,1.241732607717067,0.5914324453688428,43.76413699538858,0.9655977989759789
Complete Sherlock Holmes,7817,105863,0.005894,6.027321,0.592959,-0.959037,1.829313,18803.494743,20440.297131,37651.809767,40898.522374,True,46.07237364284129,0.8964593543116112,2.90161588550484,0.7517443887466294,3.859843756655976,86.06233107967869,1.8679812710941368
Jane Eyre,12541,189604,0.013544,5.0282,0.575012,-0.371229,1.588123,31058.535236,33311.397649,62164.254264,66641.668816,True,169.84908514603552,0.8798969148439311,2.977627963891344,0.7155226279801951,4.161472813650502,148.30690398273813,0.8731686947576108
Dubliners,7157,69264,0.00278,6.552077,0.594,-1.382627,1.817079,15332.482627,16140.574346,30709.344486,32298.900385,True,19.900004478311327,0.8452666375325547,0.4255221097116447,0.7100600072940719,0.5992762658655333,65.3788909258547,3.285370663966937
The Iliad,12300,194969,0.026222,4.688486,0.628447,-0.242797,1.56868,32797.458562,35145.119198,65642.003898,70309.073105,True,322.52740270205663,1.0820868307529177,4.166268337515849,0.9617139135632043,4.332128587055156,146.4618952784701,0.4541068264322589
Democracy in America,9301,187753,0.019174,5.0813,0.567014,-0.064732,1.613433,26265.262231,28756.04818,52576.213849,57530.372115,True,178.33339277881137,1.0429666313194808,3.1984308930826675,0.8363333144188033,3.8243495003010453,116.08829555683555,0.6509621880004323
Origin of Species,6887,156024,0.041327,4.641377,0.640704,0.145886,1.565321,20817.440095,22316.643495,41679.067143,44650.961771,True,284.6158722132491,1.0689645610242333,3.8874895750020575,0.968580364075467,4.0135952773653,89.72849211992552,0.31526172950992787
Wealth of Nations,9478,380080,0.057889,4.691217,0.635629,0.245516,1.607057,31350.480665,36284.93144,62746.744973,72588.176337,True,548.6705529724659,0.9166251165286092,3.469857816519729,0.8239677771059604,4.2111571749892756,124.38464467272836,0.2267018778370094
Les Miserables,22677,575614,0.023955,5.056159,0.578102,0.132627,1.540925,64462.091489,72005.401579,128974.328511,144030.86137,True,543.2231199383385,0.9472805216431865,2.693747136427065,0.7744577948162978,3.4782361988699777,277.122704944508,0.5101452695458991
Decline and Fall Vol 1,15983,262698,0.020529,4.775194,0.595765,-0.042908,1.504456,42171.356862,45633.475011,84391.110129,91286.308583,True,328.1213196148824,1.2018079079257196,2.8939944200648204,1.0125695045520524,2.858069897478382,181.41820908061865,0.5528997911307625
Emile,11174,252843,0.021457,5.160373,0.586016,-0.132112,1.580431,31087.185903,33942.540327,62220.978531,67903.723344,True,239.76609791149266,0.9174327934835199,2.6198479785059336,0.7603239367399598,3.4456997233824485,132.0791651941298,0.5508667252986098
Ulysses,28990,268854,0.01585,3.657688,0.996447,-1.622016,1.646182,56446.065587,60522.552183,112943.504706,121065.653778,True,459.48935829234165,1.010438813836775,1.996492101113144,1.4238994516256178,1.402129974018753,274.054700728531,0.5964331834518107
Collected Poe,9312,91801,0.004096,6.028927,0.589513,-0.656234,1.573097,20777.673935,21796.001463,41601.043165,43610.281044,True,38.139794502683976,0.9579988355736341,3.2394745644414864,0.7986807589238063,4.05603181026492,100.9569555396059,2.647024108441417
Principia Ethica,3814,98676,0.053119,4.505151,0.828591,0.1299,1.698748,11685.399337,12955.495651,23412.030842,25927.484169,True,202.59439011417308,1.0886336148093025,3.382917578427281,1.275666672662204,2.651882071487711,46.15587366688076,0.2278240460699301
Critique of Pure Reason,6537,209795,0.059344,4.127438,0.697345,-0.206487,1.677577,19509.628915,22213.483271,39063.183998,44444.537008,True,387.9335571475565,0.7997303442771599,0.764383098962179,0.788689345323295,0.9691814698585125,72.70946642745211,0.18742762797340565
