corpus,V,tokens,pi_h,mu_t,sd_t,mu_h,sd_h,nll
brown,42256,991429,0.023007833895552728,-0.3121235603784719,1.6356765436975085,5.095734192589829,0.596069809115507,117314.64774322778
census_surnames,162254,294979229,0.3,5.762210586504833,0.6811111206534222,10.646195818133707,0.9559932041699347,1942021.5676679062
cornell_dialogs,52280,3205372,0.0394080619246094,0.005507981878913043,1.572557048345416,4.821081804625761,0.6269300780591249,159949.1948670825
lang_finnish,21795,81931,0.002150240428616723,-3.106114847528343,1.9728319505855558,4.010862028612488,1.0333345057462449,31952.675760793427
lang_german,10898,79206,0.013171623082564723,-2.050280449963287,1.7601111829343496,3.527596910173439,1.132406638063149,20293.85914483705
lang_italian,17050,150000,0.0010000000000387863,-1.7836594746214822,1.8097171243728323,4.0219455605432675,1.2472208396749025,33626.67935359501
lang_polish,11730,32651,0.001313689124799107,-3.72974478440618,2.001881693770334,3.332545112461693,0.9272848737395193,14598.509887328364
lang_portuguese,8840,67299,0.0034304468992011963,-1.564482181858085,1.7255552831006065,6.174960358693872,1.066169453586943,17156.07987652788
lang_swedish,7906,76261,0.005387777655518569,-2.512481537177113,2.092145999116094,4.724043117034887,0.6091522515447754,15356.716386104445
wikitext_1M,45905,1000000,0.028324953001242537,-0.5079670597939654,1.7078807611294917,4.709458186373744,0.6351626656122882,124780.72175330202
