corpus,nll,pi_h,sd_h,mu_t,sd_t,n_total,pred_err
Shakespeare,73388.65627086889,0.001,2.7951252110428433,-2.3357473587585105,3.092767371005507,82503.07530414157,0.7607751526556359
Shakespeare,73365.48342673204,0.11268261972982983,3.0069951018515035,-7.809167960683903,1.8831368309259153,600659.4639194731,0.4883478782045925
Shakespeare,73368.28334519475,0.010555580843019382,1.3517991909303393,-3.399038954296401,3.3664433354338956,109636.69643896213,0.22748460851490598
Shakespeare,73407.93073351392,0.051115873795982536,0.06354220380949485,-3.5466520491603397,3.5914801860676806,117591.80483798397,0.24772062173774784
Shakespeare,73389.1975819696,0.047779403036273815,2.148973129177721,-5.189944335479802,3.7401221567690364,161699.2066983599,0.5823704081983945
Shakespeare,73371.17447276755,0.29888798920720105,2.8952364638369623,-4.913988559858336,0.9702413036924449,200066.4077472779,0.4326385689117548
Shakespeare,73371.30911691907,0.2926743768641531,2.8491510921171366,-4.752393862650997,0.910655333225114,195047.545795221,0.7191831173342891
Shakespeare,73631.84541357169,0.0010000000000000052,0.11664417346557575,-1.0703733583021613,2.48524062354005,57715.116279890215,0.4451468184086516
Shakespeare,73366.25182452159,0.006910580189281158,1.2088689945103899,-3.522612786035979,3.4738779949577214,112711.83324086026,0.30576375079726537
Shakespeare,73374.88784946264,0.0260913462098713,2.3375742917393714,-2.5248521247115154,2.985466253716073,85268.32607789514,0.15577425188515137
Shakespeare,73464.90051085134,0.01586319433649192,0.9943532365222548,-2.2433454079025994,2.787952086513068,81352.88521361198,1.8466898261230966
Shakespeare,73486.18233858162,0.3,1.9001762346681101,-1.4609202565881396,1.3820457126340098,53241.456543874425,1.9350105489631915
Shakespeare,73377.6602826729,0.03048103291268412,0.05000000012047788,-3.017909765841275,3.3592705765681212,101321.78058138472,0.3092137490835134
Shakespeare,73382.91573868376,0.00100208771678915,0.6094661612572205,-2.5797212121262776,3.1808489520991055,88395.530141479,0.4927520254581376
War and Peace,52503.0771957984,0.07561989844146301,1.3929926638055268,-2.905414059122283,3.4081892598149666,59154.87147564695,0.4440822971151076
War and Peace,52483.93269198538,0.04604808655742283,0.050000000408556906,-1.184355471047085,2.714716080034528,42187.41784079865,0.5883030275114713
War and Peace,52485.92601516624,0.23286718327866424,2.271416963258294,-4.924897113643464,3.8438411185570147,74178.025125238,0.4898745113333489
War and Peace,52479.473433596366,0.0010004174772434953,1.3899983850268114,-1.3913644366688847,2.7188415951374756,44911.88942324508,0.6585494187975718
Shakespeare,73376.24686504086,0.09890944100842765,2.4296540104114097,-2.5060226217172055,2.6536833204220316,80266.75917160281,1.0607252424802605
War and Peace,52498.02084023083,0.24198163816925516,2.0916254729128774,-1.6218208650887733,1.9884633022437057,40237.957235202295,1.7605892805521752
War and Peace,52492.18922402967,0.29999983262426344,2.2792731639769372,-2.3445623885063673,2.269178557251771,46504.61522373688,1.6870190555820863
Shakespeare,73377.00079035682,0.15682134132626524,2.669334846479239,-3.1299209967283526,2.7996451332424277,90601.27847858606,0.4803853177816567
War and Peace,52492.844254429605,0.2999999969669402,2.565714582584401,-7.408300729885822,2.7846087751461073,116619.78519317746,1.2841465736031505
War and Peace,52484.563011882776,0.02381161707207941,2.7300873355389523,-9.191774914653324,0.9387123088551876,1797895.2216198565,0.6757973716181546
War and Peace,52488.26050873616,0.08798738660374258,2.052501461275219,-1.25460029624186,2.2614422716944365,40260.5461526509,1.4960005561441103
War and Peace,52479.98032577478,0.187865507088073,2.245627632875393,-4.848662915547897,3.7078451119860016,78706.60302931751,0.40161746525630193
Moby Dick,39134.50621942277,0.02567856618051637,0.9790735947351201,-2.9659385352063077,2.7086856039429934,75729.73475838442,0.5345596334259305
War and Peace,52492.23276254828,0.0011604436745079828,0.7078955459017621,-1.151616259785786,2.60327083231489,41923.94091764031,0.4139589834596956
War and Peace,52773.031397142746,0.29999999995971577,1.4456228226630479,-0.6283182210258436,1.1073705177062019,28978.1885727584,2.8701174579960993
Moby Dick,39122.91229597933,0.2999999919617156,2.640493457640159,-1.641406268192906,1.8629667114689816,49761.810448945995,0.6435564352553704
Moby Dick,39122.41047885503,0.0071218946077996744,1.3653259185937943,-1.4470763030197213,2.0479925849821563,47892.05538095658,0.25449828628924825
War and Peace,52567.04102404331,0.08811232331740357,0.9764691549592397,-2.4339853078597136,3.409868088117912,51446.78705534103,0.13166393164660334
Moby Dick,39112.58380654813,0.002259588333518028,1.3062129207236262,-1.9979272536470076,2.3311782035958846,58122.54469581235,0.2476825516408665
Moby Dick,39117.478196731165,0.05686528059850027,1.2727712918564877,-4.642499169343262,3.2280679918051325,112119.54326589998,0.8567305589802091
War and Peace,52482.58188301684,0.021335385730017496,1.3384981402206375,-2.0574299600585606,2.9825156824849097,52510.343997816126,1.0210084710917917
Moby Dick,39113.869947126805,0.007695847383208196,2.0408577330636377,-1.7177356926947525,2.1707210267693138,52621.18532907397,0.03786842979724094
Moby Dick,39118.30384653968,0.0010001669332346125,1.1060337644589655,-2.071512228951295,2.3722987797394564,59638.15587188268,0.024329296258048853
Moby Dick,39122.70997694766,0.028640782172598404,0.986025579191997,-4.42237857215231,3.1286166198210785,115605.19915086661,0.023257418663659126
Moby Dick,39151.1621896708,0.00546005658400722,0.0500103692460068,-2.298219188400039,2.4805313086418526,63500.945810947305,1.4659859168348939
Moby Dick,39116.38868219934,0.22583909068690308,1.6681037131579897,-4.028559193501563,3.2300518746753,76405.0246026048,0.025682961484222073
Moby Dick,39112.663491637395,0.003583252098249941,1.6507367576579024,-1.8660828522997068,2.2624991752760026,55541.5743924083,0.03843129275242123
Moby Dick,39138.23359570673,0.01341512508556706,0.6347191719828507,-2.740932227684913,2.640433803495767,72069.14708449652,0.6304058447551512
Moby Dick,39112.58380654704,0.0022595933160480183,1.306212175407676,-1.9979287128317473,2.331178577349914,58122.57601729942,0.2476825516408665
Pride and Prejudice,18041.09258756575,0.042012797592883386,1.5251322041199205,-3.140543053546433,3.115774722806028,28174.170211830788,1.2292396652711615
Moby Dick,39122.189087448656,0.2761057522413755,2.6533353641024315,-1.653597077491483,1.9002954469031446,50115.267326245536,0.0788109795099949
Moby Dick,39146.72025568543,0.24152192476021694,2.6435066831827605,-11.999999569440842,0.8495133835498124,303797.8161956843,1.1330400821246407
Pride and Prejudice,18041.242278127593,0.001748075954755898,3.979253461937876,-2.532447709764254,2.8908774881028183,25397.818005088066,1.116152861342305
Pride and Prejudice,18038.588801887017,0.001111820276030149,0.8054419660012024,-2.1353114892957166,2.7166869780203213,22568.171117783317,0.830717169384552
