corpus,sd_logcount_ge5,iqr_logcount_ge5,n_ge5,sd_t_f8
EN Shakespeare,1.1263834709235474,1.4271163556401456,1351,1.9404816305429213
EN War and Peace (tr),1.060436121393877,1.1895840668738364,1470,1.731967821738523
EN Moby Dick,1.0597403821221525,1.203972804325936,1443,1.7206665251586017
EN Pride and Prejudice,1.1032896309424873,1.312186388966169,1321,1.739437212551075
EN Ulysses,1.0068597837998576,1.1655028335352728,1552,2.1024267582779075
EN Federalist,0.9989703933028494,1.1526795099383853,1536,1.681894720000626
RU War and Peace,0.927240754067729,1.1526795099383853,1776,1.8098371112057714
ZH Three Kingdoms,0.8756170591512674,1.0414538748281612,1858,2.4783989184590682
AR 1001 Nights,0.9251772064419378,1.0414538748281612,1871,2.37113551222899
FI Seitseman veljesta,0.8532942761647556,0.9162907318741551,1903,2.0760027971752386
IT Promessi Sposi,1.0186442602802581,1.203972804325936,1528,2.2450171840504596
DE Wahlverwandtschaften,1.0246605857546651,1.1526795099383853,1574,2.06507222755687
SV Gosta Berling,1.1424406286095476,1.4271163556401456,1211,1.9390951924604198
PT Dom Casmurro,1.0210584461552201,1.1526795099383853,1503,1.8449952242344534
