corpus,model,nll,theta
Complete Works of Shakespeare,one,73459.4108730082,-4.1007;1.3171
Complete Works of Shakespeare,one,73456.56077126933,-4.1875;1.3167
Complete Works of Shakespeare,one,73459.41087301887,-4.1007;1.3171
Complete Works of Shakespeare,one,73525.00018514306,-1.5666;0.9945
Complete Works of Shakespeare,one,73553.57252157782,-1.4304;0.9790
Complete Works of Shakespeare,one,73506.89807847903,-1.7518;1.0162
Complete Works of Shakespeare,one,73506.89807849278,-1.7518;1.0162
War and Peace,one,52492.9681056748,-1.7511;1.0498
Complete Works of Shakespeare,one,73418.57920205982,-2.0818;1.0963
War and Peace,one,52556.68314106601,-0.9521;0.8980
War and Peace,one,52609.0623121967,-0.6957;0.8475
War and Peace,one,52491.78668383061,-1.3848;1.0188
Complete Works of Shakespeare,two,73370.27964922794,-0.1427;-7.1907;0.1512;1.4743;1.1434
Complete Works of Shakespeare,two,73438.54760619275,-2.3756;-1.2491;0.8976;1.5547;0.6684
War and Peace,two,52489.972750806955,-2.8261;-1.8143;1.0789;0.7880;0.1633
War and Peace,one,52488.59484616023,-1.4322;1.0168
War and Peace,one,52492.932222006035,-1.8074;1.0783
Complete Works of Shakespeare,two,73415.9842351132,-9.3173;-2.4319;1.1368;1.7661;-0.9603
War and Peace,one,52538.24824553941,-2.7139;1.1854
Complete Works of Shakespeare,two,73534.16231195966,-155.7712;-4.6932;1.3756;-149.4788;-2.3481
War and Peace,one,52538.24824552939,-2.7139;1.1854
Moby Dick,one,39145.29846411905,-2.7666;0.9779
Complete Works of Shakespeare,two,73417.75397663348,-2.1355;-1.5431;0.9282;1.5148;0.7187
Moby Dick,one,39149.14072357068,-2.3590;0.9240
War and Peace,two,52502.2016564024,-2.7882;-0.6918;0.8289;1.4993;0.6760
Moby Dick,one,39147.65042718668,-2.5602;0.9562
War and Peace,two,52501.41412766703,0.8044;-3.2600;1.2275;0.9630;0.7747
Moby Dick,one,39190.29987308842,-3.7881;1.1172
Moby Dick,two,39139.92103597926,-2.5523;-2.5548;0.9558;0.8617;-0.2104
Moby Dick,one,39145.80705424068,-2.7540;0.9826
Complete Works of Shakespeare,two,73408.77071270953,-3.7085;-2.1508;1.0958;1.3024;1.1266
Moby Dick,one,39147.04737225103,-2.5639;0.9509
Complete Works of Shakespeare,two,73434.21128771435,-4.3020;-3.4429;1.2447;1.7261;0.1016
War and Peace,two,52487.73091692634,-1.5371;-0.8980;0.9547;-40.7682;-2.9957
Moby Dick,one,39147.05775068203,-2.7660;0.9722
Moby Dick,two,39117.9185341006,-3.1552;-1.4580;0.7028;1.5109;0.6174
War and Peace,two,52485.40909394103,6.2949;-8.1331;-0.2755;1.7944;1.0472
Moby Dick,one,39145.2984641181,-2.7666;0.9779
War and Peace,two,52490.56743637591,0.2841;-4.0139;1.2869;1.2845;0.7311
King James Bible,one,41370.598232791024,-5.6046;1.4945
King James Bible,one,41169.404729518,-1.6566;1.1162
King James Bible,one,41210.137075346924,-0.8394;0.9850
Moby Dick,two,39134.866636625884,4.9934;-1.6855;0.5629;-0.3189;0.8375
Moby Dick,two,39111.82371660934,-5.0508;-1.8494;0.8181;1.9268;0.3177
War and Peace,two,52489.04367445098,18.7983;-2.1695;1.0778;-0.2117;0.9827
King James Bible,one,41181.88856912135,-1.4093;1.1211
War and Peace,two,52491.707719390986,19.3335;-3.6617;1.2877;0.9948;0.8150
King James Bible,one,41261.34113767493,-3.6858;1.3574
King James Bible,one,41191.036962858256,-2.2573;1.1941
