corpus,fit_depth,kind,pi_h,mu_h,sd_h,mu_t,sd_t,beta,nll,n_total,aic_like
Complete Works of Shakespeare,full,pln,0.004819982426424032,3.27112434180277,0.9952670049447161,-3.138656401855369,3.3364128324958235,10.0,73365.32503082554,102553.49295790581,146740.65006165107
Complete Works of Shakespeare,full,nlt,0.13065155931884806,-0.8539766103603552,3.262362938622637,-2.2552082055316727,2.8918500781304037,21.901925026868586,73386.4051620043,78367.15651615319,146784.8103240086
Complete Works of Shakespeare,150k_slice,pln,0.0010000000010666136,6.081638726037269,1.1003231476435549,-3.3878068834529085,2.8406057710743715,10.0,26475.88036050877,62267.537149047406,52961.76072101754
Complete Works of Shakespeare,150k_slice,nlt,0.0010352466765711126,4.681737347735736,1.6121212427081737,-2.1315624453567477,2.747671208110419,0.3919874301111992,26474.126268335087,82099.48428904216,52960.252536670174
War and Peace,full,pln,0.2999999609689223,-1.4137694843584692,2.756517760074693,-6.722030566921976,0.25511375464986835,10.0,52482.66846941447,149395.29795146425,104975.33693882894
War and Peace,full,nlt,0.0013809676553012988,2.7469260904451276,0.9763004204669455,-0.35347199315263955,2.6461479815450173,0.6742830079516486,52484.23289007709,49412.485973664,104980.46578015418
War and Peace,150k_slice,pln,0.001029446256943188,5.98817760003477,1.2764051493825788,-2.635170896832718,2.6843462748817783,10.0,25286.717795669607,43095.23236115032,50583.435591339214
War and Peace,150k_slice,nlt,0.0022439176812012957,5.352179013994846,1.3249738213792777,-1.183769261503668,2.4142985343542915,0.6529741980471998,25286.424070309495,42294.15833140728,50584.84814061899
Moby Dick,full,pln,0.0018510153798596634,6.005116376522986,1.0325452216808946,-2.051814395612761,2.3564498405650065,10.0,39115.032130832056,59220.05981926116,78240.06426166411
Moby Dick,full,nlt,0.0025693794972242085,5.61941892516072,1.2570521809350197,-0.8026957122382589,2.150019573865675,0.6736834988706357,39111.870619877176,61117.10029965208,78235.74123975435
Moby Dick,150k_slice,pln,0.002099805545012608,5.507091945825023,1.131526257794933,-2.386996292789777,2.3307036923955606,10.0,30664.154056632684,58547.15175093891,61338.30811326537
Moby Dick,150k_slice,nlt,0.0023837396149716168,5.452208243832444,1.0192764879935723,-0.969551059681331,2.0895697053433566,0.5627978146662566,30666.537733898094,61286.64294864805,61345.07546779619
Les Miserables,full,pln,0.03264315093234966,-1.683025196809305,0.050000058408815246,-2.185528791451141,2.8561487585606886,10.0,62573.106461843294,76769.6403515646,125156.21292368659
Les Miserables,full,nlt,0.009594707657773035,3.3653965428889423,0.9970440768403853,-0.5425257460310975,2.440612440035338,0.4849144959107916,62617.66852165735,79584.55721313487,125247.3370433147
Les Miserables,150k_slice,pln,0.3,-2.240573838796436,2.869904594460455,-2.7405738401445197,2.2969820162300945,10.0,29042.370769980058,56633.40849880794,58094.741539960116
Les Miserables,150k_slice,nlt,0.001732157738239413,5.8429683492359885,1.0003879335485104,-0.7117028703208423,2.0928331373548015,0.4851732743330571,29052.785041409068,53329.8713792397,58117.570082818136
