slug,corpus,beam_rank,expr,math,rmse,uses_new_operator,symbolic_family
aesops_fables,Aesop's Fables,1,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.16817471630002356,True,sigmoid-family
aesops_fables,Aesop's Fables,2,"sub[sin[x],erf[x]]",(sin(x)-erf(x)),0.16832494481798596,True,sigmoid-family
aesops_fables,Aesop's Fables,3,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.16922954056178502,False,bregman-family
aesops_fables,Aesop's Fables,4,"sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.17159871401499432,False,other
aesops_fables,Aesop's Fables,5,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.17239960126205842,False,other
aesops_fables,Aesop's Fables,6,"add[neg[x],pow[x,x]]","((-x)+pow(x,x))",0.17479457575179103,False,other
aesops_fables,Aesop's Fables,7,"div[sub[x,1],eml[1,x]]","((x-1)/EML(1,x))",0.1749392242361762,False,other
aesops_fables,Aesop's Fables,8,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.17497160606504875,False,other
aesops_fables,Aesop's Fables,9,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.17549567485117257,False,other
aesops_fables,Aesop's Fables,10,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.1771438910999912,False,bregman-family
arabian_nights_vol1,Arabian Nights (Vol 1),1,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.18278688989650455,False,bregman-family
arabian_nights_vol1,Arabian Nights (Vol 1),2,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.18282637890562417,True,sigmoid-family
arabian_nights_vol1,Arabian Nights (Vol 1),3,"sub[sin[x],erf[x]]",(sin(x)-erf(x)),0.18284971622897273,True,sigmoid-family
arabian_nights_vol1,Arabian Nights (Vol 1),4,"sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.1845699635740453,False,other
arabian_nights_vol1,Arabian Nights (Vol 1),5,"add[neg[x],pow[x,x]]","((-x)+pow(x,x))",0.1855988570468531,False,other
arabian_nights_vol1,Arabian Nights (Vol 1),6,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18624953256722684,False,bregman-family
arabian_nights_vol1,Arabian Nights (Vol 1),7,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.18694417702938554,False,other
arabian_nights_vol1,Arabian Nights (Vol 1),8,"mul[sub[1,x],sub[1,x]]",((1-x)*(1-x)),0.18732452301832536,False,polynomial
arabian_nights_vol1,Arabian Nights (Vol 1),9,"div[sub[x,1],eml[1,x]]","((x-1)/EML(1,x))",0.1876760491256233,False,other
arabian_nights_vol1,Arabian Nights (Vol 1),10,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.1876928741790554,False,other
canterbury_tales,Canterbury Tales,1,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.1671471869143485,True,sigmoid-family
canterbury_tales,Canterbury Tales,2,"sub[sin[x],erf[x]]",(sin(x)-erf(x)),0.16738221555197022,True,sigmoid-family
canterbury_tales,Canterbury Tales,3,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.1678242283162659,False,bregman-family
canterbury_tales,Canterbury Tales,4,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.17016778812525912,False,other
canterbury_tales,Canterbury Tales,5,"sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.17057069256526533,False,other
canterbury_tales,Canterbury Tales,6,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.1708961208533756,False,other
canterbury_tales,Canterbury Tales,7,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.17093623968880178,False,bregman-family
canterbury_tales,Canterbury Tales,8,"add[neg[x],pow[x,x]]","((-x)+pow(x,x))",0.17113704626276577,False,other
canterbury_tales,Canterbury Tales,9,"add[sub[1,x],log[x]]",((1-x)+log(x)),0.17155766787686438,False,other
canterbury_tales,Canterbury Tales,10,"mul[sub[1,x],sub[x,1]]",((1-x)*(x-1)),0.1723299287007539,False,polynomial
collected_poe,Collected Poe,1,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.1731537226006591,True,sigmoid-family
collected_poe,Collected Poe,2,"sub[sin[x],erf[x]]",(sin(x)-erf(x)),0.17363931153446965,True,sigmoid-family
collected_poe,Collected Poe,3,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.17464893963749728,False,bregman-family
collected_poe,Collected Poe,4,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.17545087325392908,False,other
collected_poe,Collected Poe,5,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.17722592930767092,False,other
collected_poe,Collected Poe,6,"sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.17780968721161927,False,other
collected_poe,Collected Poe,7,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.17879414959358172,False,other
collected_poe,Collected Poe,8,"mul[sub[1,x],sub[x,1]]",((1-x)*(x-1)),0.17884344032060043,False,polynomial
collected_poe,Collected Poe,9,"add[sub[1,x],log[x]]",((1-x)+log(x)),0.17903141876702783,False,other
collected_poe,Collected Poe,10,"add[neg[x],pow[x,x]]","((-x)+pow(x,x))",0.17911421443607753,False,other
complete_sherlock_holmes,Complete Sherlock Holmes,1,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.16802673417015204,True,sigmoid-family
complete_sherlock_holmes,Complete Sherlock Holmes,2,"sub[sin[x],erf[x]]",(sin(x)-erf(x)),0.16831725244116796,True,sigmoid-family
complete_sherlock_holmes,Complete Sherlock Holmes,3,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.1692196987389226,False,bregman-family
complete_sherlock_holmes,Complete Sherlock Holmes,4,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.1710875766139428,False,other
complete_sherlock_holmes,Complete Sherlock Holmes,5,"sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.1720915784289525,False,other
complete_sherlock_holmes,Complete Sherlock Holmes,6,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.1731020971045488,False,other
complete_sherlock_holmes,Complete Sherlock Holmes,7,"add[neg[x],pow[x,x]]","((-x)+pow(x,x))",0.1738734416273575,False,other
complete_sherlock_holmes,Complete Sherlock Holmes,8,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.17403730451678676,False,other
complete_sherlock_holmes,Complete Sherlock Holmes,9,"div[sub[x,1],eml[1,x]]","((x-1)/EML(1,x))",0.17430077958530202,False,other
complete_sherlock_holmes,Complete Sherlock Holmes,10,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.17451384855568502,False,bregman-family
critique_of_pure_reason,Critique of Pure Reason,1,"sub[sin[x],erf[x]]",(sin(x)-erf(x)),0.17641460727521532,True,sigmoid-family
critique_of_pure_reason,Critique of Pure Reason,2,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.17647312549496663,False,bregman-family
critique_of_pure_reason,Critique of Pure Reason,3,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.1766544741979789,True,sigmoid-family
critique_of_pure_reason,Critique of Pure Reason,4,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.17708956325481962,False,bregman-family
critique_of_pure_reason,Critique of Pure Reason,5,"sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.17747111204888652,False,other
critique_of_pure_reason,Critique of Pure Reason,6,"add[neg[x],pow[x,x]]","((-x)+pow(x,x))",0.179747369536625,False,other
critique_of_pure_reason,Critique of Pure Reason,7,"mul[sub[1,x],sub[1,x]]",((1-x)*(1-x)),0.18201439089620247,False,polynomial
critique_of_pure_reason,Critique of Pure Reason,8,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.1822605807136197,False,other
critique_of_pure_reason,Critique of Pure Reason,9,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.18236101984949582,False,other
critique_of_pure_reason,Critique of Pure Reason,10,"div[sub[x,1],eml[1,x]]","((x-1)/EML(1,x))",0.18255161761603136,False,other
don_quixote,Don Quixote,1,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.17539345315994231,True,sigmoid-family
don_quixote,Don Quixote,2,"sub[sin[x],erf[x]]",(sin(x)-erf(x)),0.17555405735225219,True,sigmoid-family
don_quixote,Don Quixote,3,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.1763356841530791,False,bregman-family
