corpus,logistic_bic,logistic_rmse,tanh_bic,tanh_rmse,erf_bic,erf_rmse,algebraic_bic,algebraic_rmse,winner_gate,worst_gate,bic_spread
Complete Works of Shakespeare,-106454.65816547151,0.1132760654055252,-105157.67896747902,0.11631968578655597,-105694.52963460778,0.11505006278868281,-103876.41654129341,0.11940671366876951,logistic,algebraic,2578.241624178103
War and Peace,-73969.50670068902,0.11975383361263765,-73212.24872931035,0.12238140080733495,-73553.48150428552,0.12119031468132833,-72401.52786412962,0.12525841039572122,logistic,algebraic,1567.9788365593995
Moby Dick,-72186.8048492274,0.1187246779643674,-71893.95794651807,0.11975436383901507,-71907.3937490246,0.11970692702358242,-71818.93631746179,0.12001958300570104,logistic,algebraic,367.86853176560544
King James Bible,-54050.99561129507,0.11583651766338211,-53427.80793601324,0.11874735548191978,-53583.415585980314,0.11801374892761399,-53085.36750781063,0.12037787874951594,logistic,algebraic,965.628103484436
Federalist Papers,-36927.26164023774,0.11684528347840346,-36595.62292542446,0.11911554374211482,-36724.35106186436,0.11822913327688182,-36251.15233500737,0.12152036074614284,logistic,algebraic,676.1093052303695
Grimm's Fairy Tales,-21037.641760259223,0.10823077911929448,-20963.067565104935,0.10908444666553917,-20948.607249091347,0.10925075489356431,-20973.78725355111,0.10896132285244324,logistic,erf,89.03451116787619
Don Quixote,-67170.2605692313,0.1154443752679549,-66607.09787796775,0.11755061825776197,-66784.43226902535,0.11688327077700382,-66099.07590319932,0.1194835820625855,logistic,algebraic,1071.1846660319716
Pride and Prejudice,-29694.861651812742,0.10951174030389708,-29418.035975961517,0.11178768033055039,-29434.575824944463,0.11165037793511312,-29391.468345589456,0.11200857995869251,logistic,algebraic,303.39330622328634
Canterbury Tales,-77236.86632779423,0.11193273998972732,-77004.8581263577,0.11267071165648992,-77173.75870464464,0.11213299280881447,-76647.98836272633,0.11381535194177181,logistic,algebraic,588.8779650678916
Arabian Nights (Vol 1),-62143.89844522496,0.10636512363789612,-62001.49885272799,0.10691202474809726,-62091.9997779982,0.10656412134752319,-61742.08557620239,0.10791556728509004,logistic,algebraic,401.812869022564
Aesop's Fables,-19391.653459837325,0.10923629981578861,-19336.239719009696,0.10992727805104074,-19330.027141937608,0.11000501737051294,-19346.646753641406,0.10979717565391375,logistic,erf,61.62631789971783
Complete Sherlock Holmes,-34530.94033925923,0.10933978842066736,-34364.93723169156,0.11050695291375935,-34356.95938756765,0.11056335768669413,-34387.53401441687,0.11034734578401595,logistic,erf,173.9809516915775
Jane Eyre,-53882.153406096295,0.1163386668513631,-53622.56537759269,0.11754897483832194,-53752.783890289036,0.11694027591299125,-53501.816664335194,0.11811623853970646,logistic,algebraic,380.3367417611007
Dubliners,-31482.404618819775,0.11031954869396245,-31450.23112991491,0.11056779214155202,-31441.558477433842,0.1106348039197015,-31457.025152024948,0.11051532450307083,logistic,erf,40.84614138593315
The Iliad,-54464.34692153954,0.10892884624421013,-54257.680996442585,0.10984781811020905,-54305.02334378703,0.10963662084722527,-53968.52065260713,0.1111466412420248,logistic,algebraic,495.82626893241104
Democracy in America,-40143.510145736574,0.11510033697902673,-39823.51859853281,0.1170974202888601,-39949.871117317176,0.11630474107175888,-39477.44156832931,0.1192963259456047,logistic,algebraic,666.0685774072626
Origin of Species,-30255.316817805127,0.11061655800432171,-30111.97092970262,0.11177375450260581,-30145.445826496216,0.11150244101622839,-29950.017490599155,0.11309573678457958,logistic,algebraic,305.2993272059721
Wealth of Nations,-41510.2024745571,0.11150530937515793,-41257.73387211703,0.11300034500901386,-41328.88625722919,0.11257698706536387,-40999.01195171313,0.11455320897231862,logistic,algebraic,511.19052284397185
Les Miserables,-97526.817881669,0.11623798486757476,-96380.1805494374,0.11921417056202163,-96961.85213860175,0.11769499428691486,-95094.54443003082,0.12264185078373348,logistic,algebraic,2432.2734516381897
Decline and Fall Vol 1,-69537.91700212387,0.11329121717299707,-68623.08012886101,0.11658034672350977,-68993.14396309463,0.11523850204613231,-67533.52611932163,0.12062245784931326,logistic,algebraic,2004.3908828022395
Emile,-49051.258635082726,0.11100051974248441,-48646.78986810141,0.11302776989307708,-48721.346694078326,0.11265131784222672,-48467.60684275212,0.11393765295307173,logistic,algebraic,583.6517923306092
Ulysses,-127892.96922405055,0.11000499468428752,-127828.64306858342,0.11012710791646008,-128113.10245777623,0.10958812950264611,-127330.59586893278,0.11107717255088494,erf,algebraic,782.5065888434474
Collected Poe,-40831.211228080116,0.11121130676417938,-40661.042617365834,0.11223210763594725,-40741.53596341052,0.1117480846800176,-40435.908400858694,0.11359704670954858,logistic,algebraic,395.30282722142147
Principia Ethica,-17337.905446058765,0.10212293042423279,-17319.384956752816,0.10237118220487992,-17318.15713900189,0.1023876613961679,-17289.549857347898,0.10277236668119973,logistic,algebraic,48.35558871086687
Critique of Pure Reason,-29595.69128300505,0.10340710309207045,-29545.383577622884,0.10380577187756,-29544.07182475718,0.10381618753841437,-29531.29668220207,0.10391768017886314,logistic,algebraic,64.39460080297795
