corpus,logistic_k,logistic_w,logistic_hit_upper_bound,logistic_hit_lower_bound,tanh_k,tanh_w,tanh_hit_upper_bound,tanh_hit_lower_bound,erf_k,erf_w,erf_hit_upper_bound,erf_hit_lower_bound,algebraic_k,algebraic_w,algebraic_hit_upper_bound,algebraic_hit_lower_bound,arctan_k,arctan_w,arctan_hit_upper_bound,arctan_hit_lower_bound
Complete Works of Shakespeare,245.1828640019793,1.2704285412189285,False,False,121.70786527493011,2.5888433178993835,False,False,99.64837013331864,3.1568379935184523,False,False,125.12940451224715,2.522294822062124,False,False,178.64294842652353,1.7531807595768247,False,False
War and Peace,167.6030344492917,1.3909391272398945,False,False,79.79069085602205,2.9533153229658002,False,False,69.07177748953212,3.406858967002455,False,False,72.92492769319207,3.2353927290613327,False,False,101.52237768517548,2.3096586303633115,False,False
Moby Dick,172.29697081175246,1.152609212922756,False,False,275.600770247319,0.7186598549865885,False,False,75.39629871386907,2.657684798123212,False,False,279.7518091918642,0.7071767903265987,False,False,283.5319655552545,0.6943985184208733,False,False
King James Bible,139.1801794046838,1.206309882467653,False,False,74.05057144313523,2.291900369389595,False,False,56.58841668689385,3.0008294450329034,False,False,168.66918176360002,1.001702423835012,False,False,185.6381731003965,0.9056757866824073,False,False
Federalist Papers,77.01782307118376,1.461491876702353,False,False,38.33696788222127,2.96535563777601,False,False,32.74545597103832,3.4700806486983775,False,False,134.9746617052993,0.8331199159454651,False,False,149.4629588335896,0.749620411317746,False,False
Grimm's Fairy Tales,295.83404416994784,0.18506233474098704,False,False,336.0646084717269,0.1609668614647551,False,False,355.5620259514777,0.1514212004711076,False,False,330.3841048168905,0.16399653164306408,False,False,282.1700155408716,0.19402644567951505,False,False
Don Quixote,164.02036281267928,1.2036726480950803,False,False,91.05570479754559,2.1904370794829395,False,False,74.54643149724733,2.675629603451373,False,False,97.83550666225565,2.0379855675837573,False,False,212.74383629171206,0.9273401455787412,False,False
Pride and Prejudice,70.88572404724383,1.142378447406122,False,False,47.549389203010605,1.7131852738520879,False,False,42.394190423062646,1.9301758696886144,False,False,391.1757575305102,0.19489882546382326,False,False,360.3020230468288,0.212127948818215,False,False
Canterbury Tales,134.21146988430584,1.4897058785454038,False,False,73.31878948038855,2.739285458283583,False,False,66.02188649611861,3.0401934253645875,False,False,69.88547466375168,2.8555348962420384,False,False,205.89146679948553,0.9538933278414002,False,False
Arabian Nights (Vol 1),89.74621475597223,1.5827302215020547,False,False,49.66135625732078,2.86640849816593,False,False,45.33588851297371,3.142079348218086,False,False,417.07827324135013,0.3285173476978445,False,False,358.39324554216125,0.38161050615817865,False,False
Aesop's Fables,250.7923467255682,0.17154956671636293,False,False,305.3020004070761,0.13830740182038742,False,False,313.98705982689256,0.13409496196829468,False,False,297.8784276184651,0.14209790545813109,False,False,250.6131065135433,0.17108850718221605,False,False
