corpus,logistic_bic,logistic_rmse,logistic_k,logistic_w,tanh_bic,tanh_rmse,tanh_k,tanh_w,erf_bic,erf_rmse,erf_k,erf_w,algebraic_bic,algebraic_rmse,algebraic_k,algebraic_w,arctan_bic,arctan_rmse,arctan_k,arctan_w,bic_tanh_minus_logistic,w_tanh_over_2w_logistic_ratio,tanh_calibration_pass,winner_gate,worst_gate,bic_spread
Complete Works of Shakespeare,-106454.65816575076,0.11327606540487851,245.1828640019793,1.2704285412189285,-105157.67896732579,0.1163196857869204,121.70786527493011,2.5888433178993835,-105707.24562014875,0.11502015877369468,99.64837013331864,3.1568379935184523,-103876.41654321825,0.1194067136640709,125.12940451224715,2.522294822062124,-103153.4714606391,0.12118456874816919,178.64294842652353,1.7531807595768247,1296.979198424975,1.0188858459585164,False,logistic,arctan,3301.186705111657
War and Peace,-73969.50669521868,0.11975383363141368,167.6030344492917,1.3909391272398945,-73212.24872887456,0.12238140080886353,79.79069085602205,2.9533153229658002,-73602.99454346538,0.12101845325679426,69.07177748953212,3.406858967002455,-72406.82689950673,0.12523938780053667,72.92492769319207,3.2353927290613327,-71928.66127015275,0.12696760257150796,101.52237768517548,2.3096586303633115,757.2579663441138,1.0616263735517317,False,logistic,arctan,2040.845425065927
Moby Dick,-72186.80484921845,0.11872467796439878,172.29697081175246,1.152609212922756,-71893.95794648491,0.11975436383913217,275.600770247319,0.7186598549865885,-71907.39375013554,0.11970692701966092,75.39629871386907,2.657684798123212,-71818.93631742547,0.12001958300582957,279.7518091918642,0.7071767903265987,-71660.8490142271,0.12058038347424424,283.5319655552545,0.6943985184208733,292.8469027335377,0.3117534750413064,False,logistic,arctan,525.9558349913423
King James Bible,-54050.995611346974,0.11583651766314268,139.1801794046838,1.206309882467653,-53427.807936722515,0.11874735547856552,74.05057144313523,2.291900369389595,-53583.41567377857,0.11801374851497355,56.58841668689385,3.0008294450329034,-53085.36750780397,0.12037787874954789,168.66918176360002,1.001702423835012,-52908.98108251814,0.1212264560037229,185.6381731003965,0.9056757866824073,623.1876746244598,0.9499633563066047,False,logistic,arctan,1142.0145288288331
Federalist Papers,-36927.26164015057,0.11684528347899441,77.01782307118376,1.461491876702353,-36595.62292545173,0.11911554374192632,38.33696788222127,2.96535563777601,-36748.73981880982,0.11806193922518503,32.74545597103832,3.4700806486983775,-36251.15233534727,0.12152036074374611,134.9746617052993,0.8331199159454651,-36278.414251846,0.1213282835103431,149.4629588335896,0.749620411317746,331.6387146988418,1.0144961066998572,False,logistic,algebraic,676.1093048032999
Grimm's Fairy Tales,-21037.641760244533,0.10823077911946198,295.83404416994784,0.18506233474098704,-20963.067602949057,0.10908444623062498,336.0646084717269,0.1609668614647551,-20948.607244616447,0.10925075494506942,355.5620259514777,0.1514212004711076,-20973.787253921255,0.10896132284819424,330.3841048168905,0.16399653164306408,-21021.419222190823,0.10841591177494878,282.1700155408716,0.19402644567951505,74.57415729547574,0.4348990346686269,False,logistic,erf,89.0345156280855
Don Quixote,-67170.2605692375,0.11544437526793196,164.02036281267928,1.2036726480950803,-66607.09787791144,0.11755061825797448,91.05570479754559,2.1904370794829395,-66784.4322697086,0.11688327077443993,74.54643149724733,2.675629603451373,-66099.07590397865,0.11948358205959601,97.83550666225565,2.0379855675837573,-65926.82074665841,0.12014618250897728,212.74383629171206,0.9273401455787412,563.1626913260552,0.9098973391766866,False,logistic,arctan,1243.4398225790792
Pride and Prejudice,-29694.861651812887,0.10951174030389592,70.88572404724383,1.142378447406122,-29418.03597476413,0.11178768034049635,47.549389203010605,1.7131852738520879,-29434.57582444935,0.11165037793922063,42.394190423062646,1.9301758696886144,-29391.46834590569,0.11200857995606053,391.1757575305102,0.19489882546382326,-29447.401404350196,0.11154402493614286,360.3020230468288,0.212127948818215,276.8256770487569,0.7498326310961295,False,logistic,algebraic,303.3933059071969
Canterbury Tales,-77236.86632779038,0.11193273998973953,134.21146988430584,1.4897058785454038,-77004.85812635717,0.1126707116564916,73.31878948038855,2.739285458283583,-77174.03726268372,0.11213210810300324,66.02188649611861,3.0401934253645875,-76647.98836279799,0.11381535194154085,69.88547466375168,2.8555348962420384,-76635.02499646723,0.11385714939813676,205.89146679948553,0.9538933278414002,232.0082014332147,0.9194047958508119,False,logistic,arctan,601.8413313231576
Arabian Nights (Vol 1),-62143.89844522521,0.10636512363789515,89.74621475597223,1.5827302215020547,-62001.49885274734,0.10691202474802278,49.66135625732078,2.86640849816593,-62093.62136289094,0.10655789799077808,45.33588851297371,3.142079348218086,-61742.08557412688,0.10791556729315673,417.07827324135013,0.3285173476978445,-61827.81883132729,0.1075828696010519,358.39324554216125,0.38161050615817865,142.39959247787192,0.9055265575979301,False,logistic,algebraic,401.8128710983292
