rank,word,frequency,log_frequency,zm_log_prediction,residual_log_freq_minus_zm,sr_x_log_rank,natural_raw_c_over_r_plus_c,natural_param_x_c_over_r_plus_c,reference_x_log_r_plus_c
1,the,30396,10.322066299789675,7.6775130265340312,2.644553273255644,0.050000000000000003,0.99593239390999655,1,0.050000000000000003
2,and,28507,10.257904950133641,7.6705131708504499,2.5873917792831911,0.11516660542543486,0.99189774460338709,0.99611274236250169,0.050836531561493724
3,i,24201,10.094149233605084,7.6635416152299367,2.4306076183751468,0.15328662589860612,0.98789565315983474,0.99225685320147117,0.051669681068125403
4,to,21095,9.9567913245584396,7.656598131762161,2.3001931927962787,0.18033321085086973,0.98392572707135684,0.98843195434781905,0.052499475756768735
5,of,18756,9.8392689802094768,7.6496824952789151,2.1895864849305617,0.20131217198575641,0.97998758011399867,0.98463767368691912,0.053325942536594298
6,a,16490,9.7105094155536449,7.6427944833103041,2.0677149322433408,0.21845323132404099,0.97608083222257547,0.98087364503792696,0.054149107994305862
7,you,14654,9.592468614719909,7.6359338760418023,1.9565347386781067,0.23294579049488034,0.9722051093684001,0.97713950803597271,0.054968998399271871
8,my,13204,9.4882750929730832,7.6291004562721589,1.8591746367009243,0.24549981627630457,0.968360043439911,0.97343490801715116,0.055785639708556434
9,in,12530,9.4358810478901134,7.6222940093721405,1.8135870385179729,0.25657325179721224,0.96454527212612229,0.96975949590622945,0.056599057571849257
10,that,12272,9.4150755236070367,7.6155143232440814,1.7995612003629553,0.2664787774111913,0.9607604388028177,0.966112928106998,0.05740927733630042
11,is,9923,9.2026105739142423,7.6087611882822248,1.5938493856320175,0.27543941528801019,0.95700519242141358,0.96249486639519388,0.058216324051259066
12,not,9068,9.1125070116274198,7.602034397333842,1.5104726142935778,0.28361983674947583,0.95327918740041784,0.95890497781392481,0.059020222472921109
13,s,8630,9.0629997840774728,7.5953337456610992,1.4676660384163736,0.29114509501270791,0.9495820835194152,0.95534293457152741,0.059820997068885065
14,with,8522,9.0504063340598577,7.588659030903667,1.4617473031561907,0.29811239592031519,0.94591354581550913,0.95180841394179194,0.060618672022621146
15,for,8282,9.021839764105513,7.5820100530420582,1.4398297110634548,0.3045987978843625,0.9422732444821551,0.94830109816649166,0.061413271237852993
16,me,8281,9.0217190130336995,7.5753866143616513,1.4463323986720482,0.31066642170173941,0.93866085477032191,0.94482067436015493,0.062204818342856197
