test,step,rank,expression,math,rmse,is_predicted_generator,cosine_vs_predicted,cosine_vs_negative_predicted,f_at_1,fprime_at_1,fsecond_min,bregman_conditions_pass
zm_log_rplusc_reference,1,1,"sub[1,x]",(1-x),0.32550882431070888,False,0.77350882249272945,-0.77350882249272945,0,-1,-2.3928805603645742e-09,False
zm_log_rplusc_reference,1,2,"sub[x,1]",(x-1),0.32550882431070982,False,-0.77350882249272945,0.77350882249272945,0,1,-3.5902303352486342e-09,False
zm_log_rplusc_reference,1,3,log[x],log(x),0.4563820606091204,False,-0.9126782361914334,0.9126782361914334,0,0.9999999759134055,-397.72679873318702,False
zm_log_rplusc_reference,1,4,"mul[x,x]",(x*x),0.74816739929171583,False,0.11761014900784593,-0.11761014900784593,1,1.9999999999990905,1.9999999908832251,False
zm_log_rplusc_reference,1,5,"div[x,1]",(x/1),0.84432360062936596,False,0.18773605307677574,-0.18773605307677574,1,0.99999999999909051,-7.1795511757954955e-09,False
zm_log_rplusc_reference,1,6,neg[x],(-x),0.84432360062936751,False,-0.18773605307677574,0.18773605307677574,-1,-0.99999999999909051,-2.3928805603645742e-09,False
zm_log_rplusc_reference,1,7,"pow[x,x]","pow(x,x)",0.88952340649454698,False,0.31037118899748795,-0.31037118899748795,1,0.9999999638994268,1.4016428987142717,False
zm_log_rplusc_reference,1,8,sqrt[x],sqrt(x),0.91504280077648015,False,0.25271681013914038,-0.25271681013914038,1,0.49999999548435881,-22.265322082997045,False
zm_log_rplusc_reference,1,9,"add[x,x]",(x+x),1.6581572981218577,False,0.18773605307677574,-0.18773605307677574,2,1.999999999998181,-1.4359102351590991e-08,False
zm_log_rplusc_reference,1,10,"div[1,x]",(1/x),1.6951395103029718,False,0.80999313261868644,-0.80999313261868644,1,-0.9999999277306415,2.0008553455445508,False
zm_log_rplusc_reference,1,11,"add[1,x]",(1+x),1.8220342176960711,False,0.28512216355651993,-0.28512216355651993,2,0.99999999999818101,-1.4358192856889218e-08,False
zm_log_rplusc_reference,1,12,"eml[x,1]","EML(x,1)",2.3051078195004644,False,0.2481350548455305,-0.2481350548455305,2.7182818284590451,2.7182817957400403,1.0514209494676834,False
zm_log_rplusc_reference,1,13,"eml[x,x]","EML(x,x)",2.5376910735120348,False,0.37524378223247096,-0.37524378223247096,2.7182818284590451,1.7182818198270979,3.6906034649864523,False
zm_log_rplusc_reference,1,14,"eml[1,x]","EML(1,x)",3.0003832043565732,False,0.4554605134889218,-0.4554605134889218,2.7182818284590451,-0.9999999759165803,1.0002850835517165,False
zm_log_rplusc_reference,2,1,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.19210166954543281,False,-0.66043694782333484,0.66043694782333484,0,-0.49999996841550637,-42.847428372650029,False
zm_log_rplusc_reference,2,2,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.19598640880313112,False,0.92490090448872098,-0.92490090448872098,0,-1.2037084311749104e-08,0.38679614424790998,True
zm_log_rplusc_reference,2,3,"sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.19934213835549644,False,0.66043694782333484,-0.66043694782333484,0,0.49999996841550637,1.8612396931275157,False
zm_log_rplusc_reference,2,4,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.19968464935964525,False,0.67770085682777159,-0.67770085682777159,0,-0.36787944246349813,-8.7491173962221183,False
zm_log_rplusc_reference,2,5,"div[sub[x,1],eml[1,x]]","((x-1)/EML(1,x))",0.20102125512329877,False,-0.67770085682777159,0.67770085682777159,0,0.36787944246349813,0.27068585988399718,False
zm_log_rplusc_reference,2,6,"mul[sub[1,x],mul[x,x]]",((1-x)*(x*x)),0.20340250817776784,False,0.31781366772639408,-0.31781366772639408,0,-0.99999992777111135,-3.9991448289665641,False
zm_log_rplusc_reference,2,7,"div[sub[x,1],eml[x,x]]","((x-1)/EML(x,x))",0.21322594161009983,False,-0.71735511672742003,0.71735511672742003,0,0.36787944873601586,-0.46499881748468397,False
zm_log_rplusc_reference,2,8,"add[neg[x],sqrt[x]]",((-x)+sqrt(x)),0.21377075837594764,False,0.65975807703309675,-0.65975807703309675,0,-0.50000000451595139,-22.265322081951126,False
zm_log_rplusc_reference,2,9,"div[sub[1,x],eml[x,x]]","((1-x)/EML(x,x))",0.2143386900982546,False,0.71735511672742003,-0.71735511672742003,0,-0.36787944873601586,-15.218695155782825,False
zm_log_rplusc_reference,2,10,"sub[div[x,1],sqrt[x]]",((x/1)-sqrt(x)),0.21458516687461804,False,-0.65975807703309675,0.65975807703309675,0,0.50000000451595139,0.25005345531508283,False
zm_log_rplusc_reference,2,11,"div[log[x],eml[1,x]]","(log(x)/EML(1,x))",0.21578528085427262,False,-0.82652640006032441,0.82652640006032441,0,0.36787943849232052,-21.538513304681146,False
zm_log_rplusc_reference,2,12,"mul[sub[x,1],mul[x,x]]",((x-1)*(x*x)),0.21592465236241046,False,-0.31781366772639408,0.31781366772639408,0,0.99999992777111135,-1.6991448289732887,False
zm_log_rplusc_reference,2,13,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.21819715768815529,False,-0.94555074675526496,0.94555074675526496,0,3.6100445031006685e-08,-20.582106297432802,False
zm_log_rplusc_reference,2,14,"add[neg[x],pow[x,x]]","((-x)+pow(x,x))",0.22381997140382504,False,0.94555074675526496,-0.94555074675526496,0,-3.6100445031006685e-08,1.4016428997608728,True
zm_log_rplusc_reference,2,15,"mul[log[x],mul[x,x]]",(log(x)*(x*x)),0.22548979638778432,False,-0.37389828928072133,0.37389828928072133,0,0.99999997592027168,-2.9857694393990641,False
zm_log_rplusc_reference,2,16,"mul[sub[1,x],sub[x,1]]",((1-x)*(x-1)),0.23038073872082535,False,-0.94299278541033515,0.94299278541033515,0,0,-2.000000005241418,False
