test,step,rank,expression,math,rmse,cosine_vs_shifted_kl,cosine_vs_unshifted_negative_entropy,is_shifted_kl,f_at_1,fprime_at_1,fsecond_min_continuous_grid,fsecond_positive_continuous_grid,bregman_conditions_pass,second_diff_min_on_integer_support,second_diff_positive_on_integer_support
negbin_mean12_var24_fit_poisson_count_coordinate,1,1,"pow[x,x]","pow(x,x)",1.1157818641881831,0.66417630693566376,-0.96236463690622986,False,1,0.9999999638994268,1.4016428987142717,True,False,0.0018749004912588241,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,2,sqrt[x],sqrt(x),1.260410561831049,0.44892682412777246,-0.99799068515348088,False,1,0.49999999548435881,-22.265322082997045,False,False,-0.0139183999417615,False
negbin_mean12_var24_fit_poisson_count_coordinate,1,3,"sub[1,x]",(1-x),1.2640756940116264,0.9403374546721921,-0.6849408126804547,False,0,-1,-2.3928805603645742e-09,True,False,-2.2204460492503131e-16,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,4,"div[x,1]",(x/1),1.2881772312863247,0.29065554514401531,-0.96946740695603406,False,1,0.99999999999909051,-7.1795511757954955e-09,True,False,-2.2204460492503131e-16,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,5,"mul[x,x]",(x*x),1.2932535048673741,0.13922496784047855,-0.87940322609716326,False,1,1.9999999999990905,1.9999999908832251,True,False,0.0026701183431949715,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,6,"add[x,x]",(x+x),1.3438699649527106,0.29065554514401531,-0.96946740695603406,False,2,1.999999999998181,-1.4359102351590991e-08,True,False,-4.4408920985006262e-16,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,7,"add[1,x]",(1+x),1.3606423588601206,0.55941697994616246,-0.99086569139269431,False,2,0.99999999999818101,-1.4358192856889218e-08,True,False,-4.4408920985006262e-16,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,8,"eml[x,1]","EML(x,1)",1.4991511839102758,0.49585692797863723,-0.99064935701534895,False,2.7182818284590451,2.7182817957400403,1.0514209494676834,True,False,0.0014559015480573034,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,9,"sub[x,1]",(x-1),1.8621099671299137,-0.9403374546721921,0.6849408126804547,False,0,1,-3.5902303352486342e-09,True,False,-2.2204460492503131e-16,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,10,neg[x],(-x),1.8724156351277996,-0.29065554514401531,0.96946740695603406,False,-1,-0.99999999999909051,-2.3928805603645742e-09,True,False,-1.1102230246251565e-16,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,11,"eml[x,x]","EML(x,x)",1.9068449927190374,0.77519461690766367,-0.91207009043775156,False,2.7182818284590451,1.7182818198270979,3.6906034649864523,True,False,0.0049287725247322278,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,12,log[x],log(x),2.4308042188122632,-0.9945786321665453,0.52853945580740624,False,0,0.9999999759134055,-397.72679873318702,False,False,-0.19634535815948517,False
negbin_mean12_var24_fit_poisson_count_coordinate,1,13,"eml[1,x]","EML(1,x)",2.8806414744379829,0.8290453250060178,-0.8771937535929788,False,2.7182818284590451,-0.9999999759165803,1.0002850835517165,True,False,0.0014392765436559429,True
negbin_mean12_var24_fit_poisson_count_coordinate,1,14,"div[1,x]",(1/x),4.292001114641586,0.93311723497290966,-0.4332036826370676,False,1,-0.9999999277306415,2.0008553455445508,True,False,0.0029898708806457286,True
negbin_mean12_var24_fit_poisson_count_coordinate,2,1,"div[div[1,x],eml[1,x]]","((1/x)/EML(1,x))",0.94831338127664644,0.95180407736323813,-0.57615472495340048,False,0.36787944117144233,-0.23254414340726726,0.42949911262439855,True,False,0.00063719823616908977,True
negbin_mean12_var24_fit_poisson_count_coordinate,2,2,"sub[mul[x,x],log[x]]",((x*x)-log(x)),0.95306953916583315,0.91082509768616116,-0.76720524077431718,False,1,1.0000000240852387,3.0002850899900295,True,False,0.0041093948868514696,True
negbin_mean12_var24_fit_poisson_count_coordinate,2,3,"div[pow[x,x],sqrt[x]]","(pow(x,x)/sqrt(x))",0.95851725887827499,0.91111556318237386,-0.73833811675533945,False,1,0.49999999550345819,1.7432025690886803,True,False,0.0023289166283999574,True
negbin_mean12_var24_fit_poisson_count_coordinate,2,4,"sub[eml[x,x],add[1,x]]","(EML(x,x)-(1+x))",0.96744700497877578,0.9471731522984973,-0.70470151453916829,False,0.71828182845904509,0.71828181982800743,3.6906034655846724,True,False,0.0049287725247317837,True
negbin_mean12_var24_fit_poisson_count_coordinate,2,5,"eml[sub[x,1],add[x,x]]","EML((x-1),(x+x))",1.0042912544590736,0.98102104204012552,-0.59997143283604992,False,0.30685281944005471,1.2049895303789526e-08,2.0001425807043369,True,False,0.002726578351844644,True
negbin_mean12_var24_fit_poisson_count_coordinate,2,6,"eml[log[x],add[x,x]]","EML(log(x),(x+x))",1.004670629788071,0.97454186067329485,-0.60797307094733066,False,0.30685281944005471,2.4086148187052459e-08,1.0002850991054877,True,False,0.001439276543656276,True
negbin_mean12_var24_fit_poisson_count_coordinate,2,7,"div[sqrt[x],add[x,x]]",(sqrt(x)/(x+x)),1.0149133020213073,0.92468943483069088,-0.74587132445611581,False,0.5,-0.24999998870816853,0.37513364730693866,True,False,0.00055004925515889092,True
negbin_mean12_var24_fit_poisson_count_coordinate,2,8,"eml[sub[x,1],sqrt[x]]","EML((x-1),sqrt(x))",1.0307750738188886,0.82227230867780154,-0.87862642547453229,False,1,0.50000000000636646,1.5000000305526555,True,False,0.0020069400800164505,True
negbin_mean12_var24_fit_poisson_count_coordinate,2,9,"eml[mul[x,x],eml[x,1]]","EML((x*x),EML(x,1))",1.0362618423900685,0.59103491300220934,-0.95941346279584527,False,1.7182818284590451,4.4365630028096348,2.0151172599989877,True,False,0.0027323333652271575,True
