test,step,rank,expression,math,rmse,cosine_vs_shifted_kl,cosine_vs_unshifted_negative_entropy,is_shifted_kl,f_at_1,fprime_at_1,fsecond_min_continuous_grid,fsecond_positive_continuous_grid,bregman_conditions_pass,second_diff_min_on_integer_support,second_diff_positive_on_integer_support
remainder_after_shifted_kl_fit,1,1,"mul[x,x]",(x*x),2.5635466053468829,0.14119560112184346,-0.87960796997548385,False,1,1.9999999999990905,1.9999999908832251,True,False,0.0020055555555553717,True
remainder_after_shifted_kl_fit,1,2,"sub[x,1]",(x-1),2.6498107072582835,-0.94052422486939424,0.68801215104164204,False,0,1,-3.5902303352486342e-09,True,False,-2.2204460492503131e-16,True
remainder_after_shifted_kl_fit,1,3,"div[x,1]",(x/1),2.6592286070025359,0.2937091422910747,-0.9695857246054973,False,1,0.99999999999909051,-7.1795511757954955e-09,True,False,-1.1102230246251565e-16,True
remainder_after_shifted_kl_fit,1,4,"pow[x,x]","pow(x,x)",2.7273513421047122,0.66491794416427918,-0.96318918492960559,False,1,0.9999999638994268,1.4016428987142717,True,False,0.0014064978504417791,True
remainder_after_shifted_kl_fit,1,5,sqrt[x],sqrt(x),2.7457667544016329,0.452025288219296,-0.99801709554609308,False,1,0.49999999548435881,-22.265322082997045,False,False,-0.011290644287359958,False
remainder_after_shifted_kl_fit,1,6,"add[x,x]",(x+x),2.7581502457673146,0.2937091422910747,-0.9695857246054973,False,2,1.999999999998181,-1.4359102351590991e-08,True,False,-2.2204460492503131e-16,True
remainder_after_shifted_kl_fit,1,7,"sub[1,x]",(1-x),2.8433761850628705,0.94052422486939424,-0.68801215104164204,False,0,-1,-2.3928805603645742e-09,True,False,-2.2204460492503131e-16,True
remainder_after_shifted_kl_fit,1,8,neg[x],(-x),2.8521549975032352,-0.2937091422910747,0.9695857246054973,False,-1,-0.99999999999909051,-2.3928805603645742e-09,True,False,-1.1102230246251565e-16,True
remainder_after_shifted_kl_fit,1,9,log[x],log(x),2.9110055221270867,-0.99450864946369832,0.53321364456724019,False,0,0.9999999759134055,-397.72679873318702,False,False,-0.16293550938299095,False
remainder_after_shifted_kl_fit,1,10,"add[1,x]",(1+x),3.0201815813458386,0.56125730255809503,-0.99109506334268904,False,2,0.99999999999818101,-1.4358192856889218e-08,True,False,-2.2204460492503131e-16,True
remainder_after_shifted_kl_fit,1,11,"eml[x,1]","EML(x,1)",3.0631786684978199,0.49793082358062402,-0.99085400821135028,False,2.7182818284590451,2.7182817957400403,1.0514209494676834,True,False,0.0010881991322657658,True
remainder_after_shifted_kl_fit,1,12,"eml[x,x]","EML(x,x)",3.6311770211147762,0.77485093955679141,-0.91395810375934183,False,2.7182818284590451,1.7182818198270979,3.6906034649864523,True,False,0.0037023865621086394,True
