k,x_linear,residual,shifted_kl,fitted_kl_component,remainder_after_subtraction
0,0.050000000000000003,6.8068531253423288,0.80021338632230044,3.114135465867887,3.6927176594744417
1,0.081666666666666665,5.8905633111744331,0.71374940250304919,2.9112214502359262,2.9793418609385069
2,0.11333333333333333,4.974276250116894,0.63989217899546214,2.7378930290440389,2.2363832210728551
3,0.14499999999999999,4.0580002013744583,0.57500187719857343,2.5856082148177846,1.4723919865566737
4,0.17666666666666664,3.1417681998713358,0.51708333420494612,2.449684751437271,0.69208344843406477
5,0.20833333333333331,2.2257123549948208,0.46487168376794896,2.3271542458444392,-0.10144189084961841
6,0.23999999999999999,1.3103606197806759,0.41749207464636506,2.2159635937223854,-0.90560297394170952
7,0.27166666666666667,0.39781708215897904,0.37430291488545064,2.1146071045606378,-1.7167900224016588
8,0.30333333333333329,-0.50362372848730264,0.33481336633106351,2.0219328774580014,-2.5255566059453041
9,0.33499999999999996,-1.3626263919264128,0.29863570970238129,1.9370310112887759,-3.2996574032151886
10,0.36666666666666664,-2.0778457840188604,0.26545589341661224,1.859164488569323,-3.9370102725881835
11,0.39833333333333332,-2.44683413388662,0.23501433552495343,1.7877241213662338,-4.2345582552528533
12,0.42999999999999994,-2.3750841307032688,0.20709286977335262,1.7221979162606331,-4.097282046963902
13,0.46166666666666667,-2.0355371082122717,0.18150555786503375,1.6621495125299175,-3.6976866207421892
14,0.49333333333333329,-1.6009918881555114,0.15809203422657092,1.6072025636187277,-3.2081944517742391
15,0.52500000000000002,-1.1400528573325688,0.13671256639498053,1.5570291448360458,-2.6970820021686146
16,0.55666666666666664,-0.67232827471981338,0.1172443113533751,1.5113409677090539,-2.1836692424288673
17,0.58833333333333337,-0.20289521962900903,0.099578426343590154,1.4698825996268998,-1.6727778192559088
18,0.62,0.2669657151955338,0.083617803415340086,1.4324261472717901,-1.1654604320762563
19,0.65166666666666673,0.73693366765423107,0.069275267941274588,1.3987670288870726,-0.66183336123284153
20,0.68333333333333335,1.206928377504318,0.05647212806284152,1.3687205701111109,-0.1617921926067929
21,0.71499999999999997,1.6769297768887079,0.045136993553987481,1.3421192320819941,0.33481054480671379
22,0.7466666666666667,2.146932848668341,0.035204804308466286,1.3188103314877497,0.82812251718059127
23,0.77833333333333332,2.6169363385474957,0.026616023909057818,1.2986541480314304,1.3182821905160653
24,0.80999999999999994,3.0869399329515868,0.019315964634321392,1.2815223403543212,1.8054175925972655
25,0.84166666666666667,3.5569435534868989,0.013254218166504739,1.2672966100190313,2.2896469434678677
26,0.87333333333333341,4.0269471805550339,0.008384172084942354,1.2558675668143102,2.7710796137407234
27,0.90500000000000003,4.4969508092563721,0.004662596569599109,1.2471337588293057,3.2498170504270663
28,0.93666666666666665,4.9669544383660096,0.0020492890146335263,1.2410008384312829,3.7259535999347264
29,0.96833333333333327,5.4369580675777094,0.0005067667506323259,1.2373808411449618,4.1995772264327478
30,1,5.9069616968149559,0,1.2361915589511814,4.6707701378637747
