k,empirical_prob,fitted_prob,log_density_residual,pointwise_kl_contribution_q_log_q_over_p,count_over_lambda,poisson_deviance_D_k_lambda,normalized_poisson_deviance,sr_x,kl_generator_on_sr_x
0,0.0033689745301195536,3.7266531720786642e-06,6.8068531253423332,0.022932114809543002,0,12.5,1,0.050000000000000003,0.80021338632230044
1,0.016844888109249934,4.6583164650983316e-05,5.8905633111744375,0.099225879877186202,0.080000000000000002,8.9742713556917444,0.71794170845533956,0.18929253253254552,0.49563730277488705
2,0.042112374859646508,0.00029114477906864571,4.9742762501168984,0.20947858610035958,0.16,6.8348370725033796,0.54678696580027042,0.27077344069456633,0.37546841867290981
3,0.070188322009555396,0.0012131032461193581,4.0580002013744636,0.28482422484891151,0.23999999999999999,5.2186509330795623,0.41749207464636501,0.328585065065091,0.30571305712631891
4,0.087740555396000328,0.0037909476441229939,3.1417681998713398,0.27566048678220351,0.32000000000000001,3.9422628672465407,0.31538102937972323,0.37342724469532929,0.25873493723067398
5,0.087761166932224743,0.0094773691103074847,2.2257123549948248,0.19533111352981589,0.40000000000000002,2.9185463406292254,0.23348370725033804,0.41006597322711175,0.22438595479603429
6,0.073203010897601811,0.019744518979807259,1.3103606197806799,0.095922342729593366,0.47999999999999998,2.096184949518797,0.16769479596150375,0.4410435768111105,0.19791303740524813
7,0.052484165271852637,0.035258069606798677,0.39781708215898348,0.02087909748799827,0.56000000000000005,1.4412705332294067,0.11530164265835254,0.46787759759763647,0.17674664648480687
8,0.033293354157393235,0.055090733760622922,-0.50362372848729819,-0.01676732315459447,0.64000000000000001,0.92970317897264465,0.074376254317811571,0.49154688138913261,0.15935752638475975
9,0.019586865337408187,0.076514908000865273,-1.3626263919264083,-0.026689579643860949,0.71999999999999997,0.54346339725167425,0.043477071780133943,0.51271977722787487,0.14477016994088165
10,0.011974547613083518,0.095643635001081501,-2.077845784018856,-0.024881263273378643,0.80000000000000004,0.26856448685790291,0.021485158948632233,0.53187299128315224,0.13232869977196982
11,0.0094086397230005656,0.10868594886486535,-2.4468341338866155,-0.023021380827679294,0.88,0.093832913391265649,0.0075066330713012518,0.54935850575965728,0.12157353282700667
12,0.010529705776642431,0.11321453006756795,-2.3750841307032644,-0.025008937091077932,0.95999999999999996,0.010136065756938706,0.0008108852605550965,0.56544361982389157,0.11217170391981035
13,0.014218254876235145,0.10886012506497,-2.0355371082122673,-0.028941785414596657,1.04,0.0098692709926577749,0.00078954167941262202,0.58033610934365598,0.1038752477191065
14,0.019604188225890988,0.09719654023657967,-1.6009918881555074,-0.031386146323525183,1.1200000000000001,0.08660159429804537,0.0069281275438436299,0.59420068538989568,0.09649518168836102
15,0.025903049483039769,0.080997116863816374,-1.1400528573325648,-0.029530845576766305,1.2,0.23482335190931991,0.018785868152745591,0.60717013013018206,0.089884612203410708
16,0.032305103056461559,0.063278997549856525,-0.67232827471980894,-0.021719634202596427,1.28,0.4497612469044121,0.035980899752352968,0.61935305079043379,0.083927405951270906
17,0.03798432453779655,0.046528674669012358,-0.20289521962900459,-0.0077068378695556196,1.3600000000000001,0.7272398957153321,0.05817919165722657,0.63083941392167808,0.078530380427705659
18,0.042198783081429429,0.032311579631258566,0.26696571519553824,0.011265628305715187,1.4399999999999999,1.0635760445823657,0.085086083566589255,0.64170458136223574,0.073617789625974761
19,0.044418186938197497,0.021257618178459479,0.73693366765423507,0.032733257410917323,1.52,1.4554963623055155,0.11643970898444124,0.65201230976042035,0.069127347579571619
20,0.044417790756581262,0.013286011361537229,1.2069283775043225,0.053609092130167117,1.6000000000000001,1.900072584914712,0.15200580679317696,0.6618170175056769,0.065007307033828177
21,0.042302563534454177,0.0079083400961530905,1.6769297768887124,0.070938428429652825,1.6799999999999999,2.3946696617185186,0.19157357293748148,0.67116552381569783,0.061214277416566709
22,0.038456854502014116,0.0044933750546324374,2.1469328486683454,0.082564284186833259,1.76,2.93690379910133,0.2349523039281064,0.68009840092705665,0.057711570621527652
23,0.033440738384707853,0.0024420516601263167,2.6169363385474997,0.087512283466802204,1.8400000000000001,3.5246081472805688,0.28196865178244551,0.68865103829220287,0.05446793001934036
24,0.027867281016314849,0.0012719019063157995,3.0869399329515912,0.086024622592046115,1.9199999999999999,4.1558044649525634,0.3324643571962051,0.69685448939065864,0.051456541984979287
25,0.02229382461886318,0.00063595095315789856,3.5569435534869029,0.079297875760633005,2,4.8286795139986332,0.38629436111989063,0.70473615235643705,0.048654258595531519
26,0.017149095823320273,0.00030574565055668486,4.0269471805550383,0.069058503074787753,2.0800000000000001,5.5415652365438923,0.4433252189235114,0.712320322083699,0.046040980172018409
27,0.012703033936284655,0.00014154891229476102,4.4969508092563766,0.057124918739786493,2.1600000000000001,6.292921985793992,0.50343375886351938,0.71962864187620157,0.043599160219224276
28,0.0090735956675397772,6.3191478703017749e-05,4.966954438366014,0.045068136272825333,2.2400000000000002,7.0813242442745583,0.56650593954196471,0.72668047580629513,0.041313405089989264
29,0.0062576521842973116,2.7237706337508123e-05,5.4369580675777138,0.034022592527510574,2.3199999999999998,7.9054483846683361,0.63243587077346686,0.73349321792244115,0.039170147678686873
30,0.0041717681228294065,1.1349044307294906e-05,5.9069616968149594,0.024642474509546951,2.3999999999999999,8.7640621206169946,0.70112496964935955,0.74008255073718077,0.037157379496824405
31,0.0026914633050454783,4.5762275432640794e-06,6.3769653260585573,0.017163368172633982,2.48,9.6560153654836149,0.77248122923868923,0.74646266266272754,0.035264429179903689
32,0.001682164565652549,1.7875888840875465e-06,6.8469689553037645,0.011517728558735044,2.5600000000000001,10.580232271727077,0.8464185817381662,0.75264643197771863,0.033481778211301272
33,0.0010194936761529097,6.7711700154830146e-07,7.3169725845493696,0.0074596072785322936,2.6400000000000001,11.535704266221423,0.92285634129771377,0.75864558332297927,0.031800906696246467
34,0.00059970216244287775,2.4894007409864711e-07,7.78697621379506,0.0046698664743041506,2.7200000000000002,12.521483930468804,1.0017187144375044,0.76447082150643986,0.030214163565488894
35,0.00034268694996735899,8.8907169320944669e-08,8.2569798430408063,0.0028295592383536165,2.7999999999999998,13.536679601340538,1.082934368107243,0.77013194645422356,0.028714656767082292
36,0.00019038163887075062,3.0870544903105495e-08,8.7269834722865252,0.0016614574158518626,2.8799999999999999,14.580450589322766,1.1664360471458213,0.77563795240864908,0.027296159910929929
37,0.00010290899398419146,1.042923814294122e-08,9.1969871015322635,0.0009464526903042702,2.96,15.652002928430854,1.2521602342744682,0.78099711389478121,0.025953032532939013
38,5.4162628412732123e-05,3.4306704417569568e-09,9.6669907307780001,0.00052358962682045457,3.04,16.750585585888949,1.340046846871116,0.78621706051845786,0.024680151693847963
39,2.7775706878324227e-05,1.0995738595374857e-09,10.136994360023738,0.00028156218397124526,3.1200000000000001,17.875487071034257,1.4300389656827406,0.79130484229296583,0.023472853058800869
40,1.3887853439161693e-05,3.4361683110545771e-10,10.606997989269466,0.00014730843350445712,3.2000000000000002,19.026032392227236,1.5220825913781788,0.79626698689806885,0.022326879944888245
41,6.7745626532497877e-06,1.047612289955689e-10,11.077001618515201,7.5041841474780536e-05,3.2799999999999998,20.201580318238143,1.6161264254590515,0.80110955003822248,0.021238339095572489
42,3.2259822158331798e-06,3.1178937201062019e-11,11.547005247760929,3.7250433575409155e-05,3.3599999999999999,21.401520906954737,1.712121672556379,0.80583815987454699,0.020203662158626678
43,1.500456844573572e-06,9.0636445351924211e-12,12.017008877006667,1.8031003220806028e-05,3.4399999999999999,22.625273269568204,1.8100218615654564,0.81045805634824319,0.019219572019625653
44,6.8202583844254784e-07,2.5748990156796787e-12,12.487012506252416,8.5164651742193847e-06,3.52,23.87228354284025,1.90978268342722,0.81497412608446196,0.018283053285145345
