family,case_id,step,rank,expression,math,rmse,f_at_1,fprime_at_1,fsecond_min,fsecond_positive_on_domain,bregman_conditions_pass,shape_cosine_vs_predicted
Gaussian,t2a_gaussian_euclidean,1,1,"sub[1,x]",(1-x),0.26763825045017442,0,-1,-2.3928805603645742e-09,True,False,0.96824583816592025
Gaussian,t2a_gaussian_euclidean,1,2,"sub[x,1]",(x-1),0.29823450796589673,0,1,-3.5902303352486342e-09,True,False,-0.96824583816592025
Gaussian,t2a_gaussian_euclidean,1,3,log[x],log(x),0.36680452752869652,0,0.9999999759134055,-397.72679873318702,False,False,-0.99465690891132241
Gaussian,t2a_gaussian_euclidean,1,4,"mul[x,x]",(x*x),0.76859833933768007,1,1.9999999999990905,1.9999999908832251,True,False,0.18915925769777964
Gaussian,t2a_gaussian_euclidean,1,5,"div[x,1]",(x/1),0.85137930815758878,1,0.99999999999909051,-7.1795511757954955e-09,True,False,0.36166225192100143
Gaussian,t2a_gaussian_euclidean,1,6,"pow[x,x]","pow(x,x)",0.88056651563707544,1,0.9999999638994268,1.4016428987142717,True,False,0.70744501312730501
Gaussian,t2a_gaussian_euclidean,1,7,sqrt[x],sqrt(x),0.90812556390401689,1,0.49999999548435881,-22.265322082997045,False,False,0.52312380188833063
Gaussian,t2a_gaussian_euclidean,1,8,neg[x],(-x),0.91965697530669255,-1,-0.99999999999909051,-2.3928805603645742e-09,True,False,-0.36166225192100143
Gaussian,t2a_gaussian_euclidean,1,9,"div[1,x]",(1/x),1.5220254223304188,1,-0.9999999277306415,2.0008553455445508,True,False,0.92969809716367136
Gaussian,t2a_gaussian_euclidean,1,10,"add[x,x]",(x+x),1.7052868281258329,2,1.999999999998181,-1.4359102351590991e-08,True,False,0.36166225192100143
Gaussian,t2a_gaussian_euclidean,1,11,"add[1,x]",(1+x),1.8332347451911686,2,0.99999999999818101,-1.4358192856889218e-08,True,False,0.61927209087406132
