step,rank,expression,math,rmse,is_predicted_generator
1,1,"sub[1,x]",(1-x),0.26763825045017442,False
1,2,"sub[x,1]",(x-1),0.29823450796589673,False
1,3,log[x],log(x),0.36680452752869652,False
1,4,"mul[x,x]",(x*x),0.76859833933768007,False
1,5,"div[x,1]",(x/1),0.85137930815758878,False
2,1,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.18740059320489277,False
2,2,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.1950119879893655,False
2,3,"mul[sub[1,x],mul[x,x]]",((1-x)*(x*x)),0.19608484122882508,False
2,4,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.19766697378178058,False
2,5,"add[sqrt[x],neg[x]]",(sqrt(x)+(-x)),0.20091830715121892,False
