grid_index,domain_value,sr_x,log_p_emp,log_p_fit,residual
1,0,0.050000000000000003,-4.4849279797629142,-12.560600000000001,8.0756720202370857
2,1,0.21286952054521779,-3.7299833746476665,-10.030035069400295,6.3000516947526286
3,2,0.30814208257460407,-3.1391443339864331,-8.1926173193605329,5.0534729853740998
4,3,0.37573904109043554,-2.7631066517551699,-6.7606646774289363,3.9975580256737664
5,4,0.42817131555477561,-2.5762507276085489,-5.6163941079491213,3.0401433803405724
6,5,0.47101160311982182,-2.5540737959306874,-4.695267089783516,2.1411932938528286
7,6,0.50723255015577917,-2.6836921641296856,-3.9564616284118639,1.2727694642821783
8,7,0.53860856163565329,-2.9453645960583916,-3.3718068468674716,0.42644225080907994
9,8,0.56628416514920821,-3.3142573217302536,-2.920683457947602,-0.39357386378265158
10,9,0.59104083609999347,-3.7426661598142958,-2.5873431046841144,-1.1553230551301814
11,10,0.61343596908642328,-4.1254817142783597,-2.3593632670784555,-1.7661184471999043
12,11,0.63388112366503968,-4.34716606018858,-2.2266936092771203,-2.1204724509114596
13,12,0.6526888427001204,-4.3556006323919094,-2.1810353284654127,-2.1745653039264967
14,13,0.67010207070099692,-4.1842399411627085,-2.2154197553272432,-1.9688201858354653
15,14,0.68631339812937975,-3.9337190847134167,-2.3239121543427963,-1.6098069303706204
16,15,0.70147808218087115,-3.6848389127757586,-2.501397424845301,-1.1834414879304576
17,16,0.71572311320083637,-3.4768074320926914,-2.7434212164853768,-0.73338621560731454
18,17,0.72915368569442585,-3.3251796052038136,-3.0460696299418828,-0.27910997526193082
19,18,0.74185791742539586,-3.2264905429739983,-3.4058764572383424,0.17938591426434414
20,19,0.75391035664521122,-3.1639439959603157,-3.8197505058050751,0.65580650984475941
21,20,0.76537463273038331,-3.1362329996385498,-4.2849178487593633,1.1486848491208135
22,21,0.77630548963164103,-3.1580991052437852,-4.7988753558830837,1.6407762506392984
23,22,0.7867503669395931,-3.2401794344723092,-5.359352878641694,2.1191734441693848
24,23,0.79675064421025743,-3.3810283750501715,-5.9642821639711343,2.5832537889209628
25,24,0.80634263110955129,-3.5652506890975846,-6.6117710637193667,3.0465203746217822
26,25,0.81555836324533826,-3.7714015382555628,-7.3000819579878709,3.5286804197323081
27,26,0.82442624772381234,-3.998695055301118,-8.027613565409645,4.028918510108527
28,27,0.83297159124621467,-4.2793200557709641,-8.7928855008142577,4.5135654450432936
29,28,0.84121703549420768,-4.6318339074836175,-9.594525080389765,4.9626911729061476
30,29,0.8491829186745975,-5.0271469596741891,-10.431255979776516,5.404109020102327
31,30,0.85688757775959734,-5.4202315339222871,-11.301888430838979,5.8816568969166916
32,31,0.8643476027260889,-5.7874155967477723,-12.205310704724411,6.4178951079766389
33,32,0.87157805166102742,-6.1627766613341626,-13.140481676924438,6.9777050155902751
34,33,0.87859263374605412,-6.6004401855944197,-14.106424307791215,7.5059841221967956
35,34,0.88540386571055474,-7.0938755641295073,-15.102219901807658,8.0083443376781496
36,35,0.89202320623964371,-7.5849550767297007,-16.127003032697374,8.5420479559676732
37,36,0.89846117196265807,-8.0795035141799154,-17.179957040553774,9.1004535263738582
38,37,0.90472743797061361,-8.6394540808172735,-18.26031002259829,9.6208559417810164
39,38,0.91083092527472453,-9.0548355430905918,-19.367331251724949,10.312495708634357
40,39,0.91677987719042897,-9.1042455082074145,-20.500327967254904,11.39608245904749
41,40,0.92258192628821778,-9.1556527460859805,-21.658642490769168,12.502989744683187
42,41,0.92824415327560117,-9.4086046600671711,-22.841649626873732,13.433044966806561
43,42,0.93377313894974445,-9.7109432486469593,-24.048754314557414,14.337811065910454
44,43,0.93917501017685878,-9.865411764899827,-25.279389499651245,15.413977734751418
45,44,0.94445548070398377,-9.900271476656064,-26.53301420296981,16.632742726313744
46,45,0.94961988748481097,-9.9040779717951128,-27.809111762140475,17.905033790345364
47,46,0.95467322309854852,-9.9042920786123645,-29.107188228029798,19.202896149417434
48,47,0.95962016475547518,-9.9042920786123645,-30.426770899140195,20.52247882052783
49,48,0.96446510031155841,-9.9042920786123645,-31.767406979448339,21.863114900835974
50,49,0.96921215165476893,-9.9042920786123645,-33.12866234695926,23.224370268346895
51,50,0.97386519577544051,-9.9042920786123645,-34.510120421787718,24.605828343175354
52,51,0.97842788379055601,-9.9042920786123645,-35.911381123912349,26.007089045299985
53,52,0.98290365815585412,-9.9042920786123645,-37.332059911894078,27.427767833281713
54,53,0.98729576826903009,-9.9042920786123645,-38.771786894846485,28.867494816234121
55,54,0.99160728464119896,-9.9042920786123645,-40.23020601081106,30.325913932198695
56,55,0.99584111179143253,-9.9042920786123645,-41.706974265443847,31.802682186831483
57,56,1,-9.9042920786123645,-43.201761025579259,33.297468946966895
