step,rank,expression,math,rmse,is_predicted_generator
1,1,"eml[1,x]","EML(1,x)",11.658545785404476,False
1,2,"eml[x,x]","EML(x,x)",11.682764951385197,False
1,3,"eml[x,1]","EML(x,1)",11.728688988473211,False
1,4,"add[1,x]",(1+x),12.108181097120257,False
1,5,"add[x,x]",(x+x),12.146811646548986,False
2,1,"pow[eml[x,1],eml[x,1]]","pow(EML(x,1),EML(x,1))",6.5879150554893551,False
2,2,"pow[eml[x,1],eml[x,x]]","pow(EML(x,1),EML(x,x))",6.7762750957771232,False
2,3,"pow[eml[x,x],eml[x,1]]","pow(EML(x,x),EML(x,1))",6.8419990937497293,False
2,4,"eml[eml[x,1],eml[1,x]]","EML(EML(x,1),EML(1,x))",7.3450693679494519,False
2,5,"eml[eml[x,1],div[1,x]]","EML(EML(x,1),(1/x))",7.3454010963250367,False
3,1,"div[pow[eml[x,1],eml[x,1]],pow[add[x,x],neg[x]]]","(pow(EML(x,1),EML(x,1))/pow((x+x),(-x)))",4.9875238140200722,False
3,2,"div[pow[eml[x,1],eml[x,1]],eml[neg[x],mul[x,x]]]","(pow(EML(x,1),EML(x,1))/EML((-x),(x*x)))",5.0378119601990177,False
3,3,"div[eml[add[x,x],div[1,x]],eml[neg[x],mul[x,x]]]","(EML((x+x),(1/x))/EML((-x),(x*x)))",5.0432072373388221,False
3,4,"div[eml[add[x,x],sqrt[x]],eml[neg[x],mul[x,x]]]","(EML((x+x),sqrt(x))/EML((-x),(x*x)))",5.077607736794155,False
3,5,"div[pow[eml[x,x],add[x,x]],eml[neg[x],mul[x,x]]]","(pow(EML(x,x),(x+x))/EML((-x),(x*x)))",5.0809243052894599,False
