sample_index,value,component
1,7,0
2,6,0
3,25,1
4,17,1
5,6,0
6,3,0
7,20,1
8,3,0
9,7,0
10,4,0
11,10,0
12,5,0
13,14,1
14,18,1
15,21,1
16,8,0
17,3,0
18,16,1
19,13,1
20,4,0
21,6,0
22,16,1
23,22,1
24,4,0
25,2,0
26,4,0
27,15,1
28,7,0
29,11,0
30,5,0
31,23,1
32,23,1
33,24,1
34,19,1
35,8,0
36,3,0
37,4,0
38,15,1
39,4,0
40,18,1
41,8,0
42,1,0
43,7,0
44,18,1
45,1,0
46,3,0
47,5,0
48,6,0
49,7,0
50,4,0
51,24,1
52,18,1
53,26,1
54,23,1
55,25,1
56,5,0
57,15,1
58,4,0
59,5,0
60,3,0
61,11,0
62,5,0
63,33,1
64,5,0
65,19,1
66,23,1
67,16,1
68,5,0
69,21,1
70,32,1
71,2,0
72,6,0
73,21,1
74,7,0
75,8,0
76,2,0
77,6,0
78,4,0
79,7,0
80,21,1
81,21,1
82,19,1
83,6,0
84,5,0
85,2,0
86,7,0
87,5,0
88,5,0
89,4,0
90,18,1
91,6,0
92,4,0
93,21,1
94,16,1
95,6,0
96,4,0
97,19,1
98,2,0
99,3,0
100,5,0
101,24,1
102,5,0
103,19,1
104,23,1
105,3,0
106,8,0
107,21,1
108,13,1
109,18,1
110,2,0
111,16,1
112,19,1
113,27,1
114,20,1
115,5,0
116,3,0
117,5,0
118,7,0
119,18,1
120,33,1
121,17,1
122,5,0
123,17,1
124,24,1
125,5,0
126,3,0
127,16,1
128,19,1
129,5,0
130,6,0
131,5,0
132,2,0
133,3,0
134,22,1
135,5,0
136,3,0
137,16,1
138,9,0
139,17,1
140,28,1
141,9,0
142,4,0
143,23,1
144,23,1
145,5,0
146,5,0
147,17,1
148,22,1
149,27,1
150,2,0
151,22,1
152,4,0
153,5,0
154,8,0
155,24,1
156,4,0
157,23,1
158,23,1
159,22,1
160,18,1
161,18,1
162,19,1
163,35,1
164,4,0
165,24,1
166,14,1
167,16,1
168,3,0
169,7,0
170,7,0
171,4,0
172,15,1
173,16,1
174,20,1
175,1,0
176,2,0
177,26,1
178,4,0
179,5,0
180,4,0
181,24,1
182,17,1
183,9,0
184,31,1
185,5,0
186,27,1
187,7,0
188,6,0
189,15,1
190,19,1
191,15,1
192,21,1
193,2,0
194,23,1
195,4,0
196,4,0
197,5,0
198,0,0
199,2,0
200,32,1
201,22,1
202,12,1
203,34,1
204,24,1
205,28,1
206,4,0
207,18,1
208,1,0
209,28,1
210,17,1
211,19,1
212,20,1
213,3,0
214,7,0
215,2,0
216,25,1
217,15,1
218,4,0
219,3,0
220,7,0
221,5,0
222,17,1
223,22,1
224,8,0
225,3,0
226,18,1
227,21,1
228,21,1
229,2,0
230,5,0
231,18,1
232,23,1
233,22,1
