grid_index,domain_value,sr_x,log_p_emp,log_p_fit,residual
1,0.0036567460303919474,0.050000000000000003,-1.4180069836427718,-0.10872333241338128,-1.3092836512293906
2,0.020422138073095567,0.15293841843250633,-1.3899896575569393,-0.38669404257500178,-1.0032956149819374
3,0.037187530115799186,0.21315353309906598,-1.3635786339968634,-0.48738759396889753,-0.87619104002796588
4,0.053952922158502802,0.25587683686501261,-1.3387521452301943,-0.55213893717390883,-0.78661320805628543
5,0.070718314201206417,0.28901560580170754,-1.3154877405474941,-0.60082723695738049,-0.71466050359011357
6,0.087483706243910039,0.31609195153157227,-1.2937622759459868,-0.64036533897563419,-0.65339693697035262
7,0.10424909828661365,0.33898467565532181,-1.2735519049248547,-0.67398456300440424,-0.59956734192045047
8,0.12101449032931727,0.3588152552975189,-1.2548320705315306,-0.70345876358014603,-0.55137330695138453
9,0.13777988237202091,0.37630706619813192,-1.2375774988044494,-0.72986732687963174,-0.50771017192481771
10,0.15454527441472451,0.39195402423421388,-1.2217621937628833,-0.75391618573946761,-0.46784600802341569
11,0.17131066645742815,0.4061084194979287,-1.2073594340991594,-0.77609242042322701,-0.43126701367593234
12,0.18807605850013176,0.41903036996407855,-1.1943417717318101,-0.79674630936768875,-0.39759546236412135
13,0.20484145054283537,0.4309174120902734,-1.1826810323807306,-0.8161382016419978,-0.36654283073873284
14,0.221606842585539,0.44192309408782804,-1.1723483183261376,-0.83446688894484178,-0.33788142938129584
15,0.23837223462824261,0.45216913890077348,-1.1633140135129769,-0.85188760210329517,-0.31142641140968175
16,0.25513762667094625,0.46175367373002524,-1.1555477911595713,-0.86852387649620344,-0.28702391466336785
17,0.27190301871364986,0.47075696027994851,-1.1490186240258951,-0.88447563379132743,-0.26454299023456762
18,0.28866841075635347,0.47924548463063815,-1.143694797490121,-0.89982484146077757,-0.24386995602934347
19,0.30543380279905707,0.48727493984981185,-1.1395439255740771,-0.9146395721968591,-0.22490435337721804
20,0.32219919484176074,0.49489244266672017,-1.1365329700476168,-0.92897697716615046,-0.20755599288146631
21,0.33896458688446435,0.50213820875438786,-1.1346282627287705,-0.94288550420197659,-0.1917427585267939
22,0.35572997892716796,0.50904683793043504,-1.133795531081305,-0.95640657995434808,-0.17738895112695696
23,0.37249537096987156,0.51564831343796358,-1.1339999271931334,-0.96957590430323659,-0.16442402288989677
24,0.38926076301257517,0.52196878839658489,-1.1352060601989853,-0.9824244595736783,-0.15278160062530699
25,0.40602615505527878,0.52803121160341504,-1.1373780321877405,-0.99497930678608704,-0.14239872540165344
26,0.42279154709798245,0.53385583052277974,-1.1404794776100153,-1.007264220692859,-0.1332152569171563
27,0.43955693914068605,0.53946059929719792,-1.1444736061745044,-1.0193002012500498,-0.12517340492445461
28,0.45632233118338966,0.54486151252033443,-1.1493232491928278,-1.0311058892984228,-0.11821735989440496
29,0.47308772322609327,0.55007288041360547,-1.1549909093020312,-1.0426979072069571,-0.11229300209507409
30,0.48985311526879688,0.55510755733327988,-1.1614388134626084,-1.0540911401686646,-0.10734767329394379
31,0.50661850731150049,0.55997713279538319,-1.1686289690974563,-1.0652989701396998,-0.10332999895775652
32,0.52338389935420404,0.56469209216253158,-1.1765232232042155,-1.0763334716780499,-0.1001897515261656
33,0.5401492913969077,0.56926195259699475,-1.1850833242413299,-1.0872055768937714,-0.097877747347558497
34,0.55691468343961137,0.57369537871245491,-1.1942709865556467,-1.0979252151786443,-0.096345771377002398
35,0.57368007548231492,0.57800028145702931,-1.2040479570885478,-1.1085014322056916,-0.095546524882856199
36,0.59044546752501859,0.5821839030631446,-1.2143760840683011,-1.1189424917830542,-0.095433592285246949
37,0.60721085956772214,0.58625289035574113,-1.2252173873685326,-1.1292559634438257,-0.095961423924706857
38,0.6239762516104258,0.59021335828231825,-1.2365341301878436,-1.1394487981037973,-0.09708533208404635
39,0.64074164365312947,0.59407094518933945,-1.2482888916830199,-1.1495273936860497,-0.098761497996970204
40,0.65750703569583302,0.59783086109922656,-1.2604446401692035,-1.1594976522678564,-0.10094698790134715
41,0.67427242773853668,0.6014979300252894,-1.2729648064841041,-1.1693650300310867,-0.10359977645301743
42,0.69103781978124024,0.60507662718689414,-1.2858133571008086,-1.1791345810769487,-0.10667877602385989
43,0.7078032118239439,0.60857111184508583,-1.2989548665645942,-1.1888109959878406,-0.11014387057675368
44,0.72456860386664756,0.61198525636294132,-1.3123545888235628,-1.1983986358743619,-0.11395595294920091
