w1,c,b,zm_rmse,winner_expr,winner_math,winner_rmse,top5_json,cosine_vs_IS,cosine_vs_exp,cosine_vs_Euclidean,cosine_vs_xx_sqrtx,closest_generator,bregman_conditions_pass,top20_rmse_spread
0.05,0,1.3036369484978199,0.00081621102474376103,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.021727549077574806,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.021727549077574806},{""rank"":2,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.03681497623063659},{""rank"":3,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.03773610660846231},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.043218605670958775},{""rank"":5,""expression"":""sub[div[x,1],pow[x,x]]"",""math"":""((x/1)-pow(x,x))"",""rmse"":0.04381484539134878}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,0.053689441961614195
0.10,0,1.3075106528888425,0.0016327343562817082,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.02148929773716881,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.02148929773716881},{""rank"":2,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.03637235280472025},{""rank"":3,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.03821527718542765},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.04293973197273595},{""rank"":5,""expression"":""sub[div[x,1],pow[x,x]]"",""math"":""((x/1)-pow(x,x))"",""rmse"":0.0441335157561888}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,0.054068898688468349
0.15,0,1.3116467239980514,0.0024474635806845881,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.021278727041047028,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.021278727041047028},{""rank"":2,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.03594324677226796},{""rank"":3,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.038705128644394744},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.04267445899750235},{""rank"":5,""expression"":""sub[div[x,1],pow[x,x]]"",""math"":""((x/1)-pow(x,x))"",""rmse"":0.04446489466043798}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,0.054428935138396126
0.20,0,1.3160747066218099,0.0032576306220056354,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.021097063284661797,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.021097063284661797},{""rank"":2,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.03552954466140278},{""rank"":3,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.03920331091433459},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.04242383324112726},{""rank"":5,""expression"":""sub[div[x,1],pow[x,x]]"",""math"":""((x/1)-pow(x,x))"",""rmse"":0.0448073525172341}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,0.054767621518326107
0.25,0,1.3208288835178423,0.0040596195766081436,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.020945188077974276,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.020945188077974276},{""rank"":2,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.03513337709319478},{""rank"":3,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.03970680863774725},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.04218895111388344},{""rank"":5,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.044682963413678396}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,0.055083076353867604
0.30,0,1.3259492884512467,0.0048487197054935,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.020823494994158927,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.020823494994158927},{""rank"":2,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.0347571496339113},{""rank"":3,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.04021174617999727},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.041970949011694965},{""rank"":5,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.04427641221422301}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,0.055319178966195419
0.35,0,1.3314829955720417,0.0056187944637033681,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.020731716970959702,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.020731716970959702},{""rank"":2,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.034403584572055904},{""rank"":3,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.04071312917226858},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.04177099307974961},{""rank"":5,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.04389490172118563}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,0.055032110291405478
0.40,0,1.3374857786641789,0.0063618331193657793,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.020668722534331951,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.02066872253433195},{""rank"":2,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.03407578223157795},{""rank"":3,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.041204498814293784},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.04159027232525684},{""rank"":5,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.04354230831200842}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,0.054739077954875592
0.45,0,1.3440242723375635,0.0070673357933832767,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.020632281588121994,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.020632281588121994},{""rank"":2,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.03377731777394969},{""rank"":3,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.04143000305916357},{""rank"":4,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.041677465018691316},{""rank"":5,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.04322320533549078}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,0.054752469822316199
0.50,0,1.3511788248188579,0.0077214583459130626,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.02061880819086423,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.02061880819086423},{""rank"":2,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.03351240303808168},{""rank"":3,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.041291461140369856},{""rank"":4,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.042121069508528126},{""rank"":5,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.04294307057509328}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,0.054908517257539022
