K,c,b,zm_rmse,residual_rmse,winner_expr,winner_math,winner_rmse,top5_json,cosine_vs_IS,cosine_vs_exp,cosine_vs_Euclidean,cosine_vs_xx_sqrtx,closest_generator,bregman_conditions_pass,is_rank,is_rmse,exp_rank,exp_rmse,is_minus_exp_rmse,both_is_exp_in_top5
2000,412.46263829013481,1.5258106038607882,0.10045452255340238,0.10045452255340238,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.09385299976174602,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.09385299976174602},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.09880922697310573},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.10030708115045492},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.10105457442146967},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.10233264990002948}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.09385299976174602,2,0.098809226973105735,-0.004956227211359715,True
2300,419.47938509495623,1.4850323281692495,0.10854955681303037,0.10854955681303037,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.10168897377621618,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.10168897377621618},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.10686380129913041},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.10823050674974855},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.10876183039976377},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.10980981302167717}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.10168897377621618,2,0.10686380129913041,-0.0051748275229142326,True
2600,410.14990277879843,1.4370782096861776,0.11518951038500296,0.11518951038500296,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.10843375399909222,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.10843375399909222},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.11357452988991329},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.1149042662178263},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.11532295393675328},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.1162505652240034}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.10843375399909222,2,0.11357452988991329,-0.0051407758908210699,True
2900,381.23834995148968,1.3803283378881384,0.12029351525213232,0.12029351525213232,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.11420019659689531,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.11420019659689531},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.11895352993347139},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.12037992623079405},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.12081768489921733},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.12176488364193756}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.11420019659689531,2,0.11895352993347139,-0.004753333336576071,True
3200,338.77747744402541,1.3185142611695893,0.12377877576302765,0.12377877576302765,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.11874794069174406,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.11874794069174406},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.12285930044309383},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.12449078317750391},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.12503557371690896},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.12610776651131522}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.11874794069174406,2,0.12285930044309383,-0.0041113597513497691,True
3500,287.80375710866849,1.2542811881361304,0.1255838553528148,0.1255838553528148,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.12199517873719502,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.12199517873719502},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.12522135131974144},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.12717305791773512},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.1278886693700799},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.12918132554385586}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.12199517873719502,2,0.12522135131974144,-0.0032261725825464133,True
3800,236.38851566381916,1.1920745872185352,0.12569503901682252,0.12569503901682252,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.12375095699857319,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.12375095699857319},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.12595070091131458},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.12830681583055314},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.1292108902146203},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.13078068979670604}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.12375095699857319,2,0.12595070091131458,-0.0021997439127413865,True
4100,189.84024180728048,1.1348408391368079,0.12416566153316688,0.12416566153316688,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.12393822880700502,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.12393822880700502},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.12504495304456642},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.12786030741306711},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.12894397639480765},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.13081860896942946}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.12393822880700502,2,0.12504495304456642,-0.0011067242375614045,True
4400,149.06722725319557,1.0828873239178618,0.12112042705153581,0.12112042705153581,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.12264333357329124,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.12264333357329124},{""rank"":2,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.12272987117959211},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.1259856778937176},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.1272390007228976},{""rank"":5,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.12745959547992844}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,2,0.12272987117959211,1,0.12264333357329124,8.6537606300868264e-05,True
4700,115.74228805920566,1.0373207312743629,0.11674037680284718,0.11674037680284718,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.1188842778059572,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.1188842778059572},{""rank"":2,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.12020425624814413},{""rank"":3,""expression"":""sub[sqrt[x],pow[x,x]]"",""math"":""(sqrt(x)-pow(x,x))"",""rmse"":0.12229981521043079},{""rank"":4,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.1227901061469926},{""rank"":5,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.12419365976999974}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,2,0.12020425624814413,1,0.1188842778059572,0.0013199784421869254,True
